Score,Date,Content
5,2023-11-10 11:08:32,ALPESH
1,2023-11-10 10:13:14,To many glitches and decrease the quality of reels and also disabled my comment option for no reason
4,2023-11-10 05:15:52,Nice
4,2023-11-09 13:40:33,❤️
5,2023-11-09 06:56:41,Nice apk
1,2023-11-09 02:59:59,"Using laws as a justification to push a subscription model. There is no law that obligates you to offer a subscription modell. There are only laws that obligate you to handle profiling based ads a certain way, technically and in regards to transparency. Offering a subscription model in itself wouldn't even address these laws to begin with. Instead of taking responsibility laws are used as an excuse. Btw dark patterns are also not allowed, so much about that ;) .. since we are on it."
1,2023-11-08 16:16:49,"Spam, sex adds, fx scams and IG doesn't do any thing when you report these accounts. It will block you from liking/commenting/following though for no reason at all. Pay for reach. You don't see the content of your community. You can't discover new content/artists and the same boring mainstream content is only pushed towards you, buried in adds and annoying suggestions. No support. Tonedeaf management. If you have content to share... this platform is a blackhole for anything you post."
5,2023-11-08 11:14:15,Koyky ki
5,2023-11-08 10:14:04,Good
5,2023-11-08 06:31:37,Nimi
1,2023-11-07 11:38:02,"Right now, Instagram is limiting my reach & not allowing my stories to be seen by my followers. I'm not sure why, as I have not received any messages acknowledging this. User Experience could be significantly improved"
5,2023-11-07 04:11:04,.ghyyu
1,2023-11-06 20:13:49,This app is fantastic
2,2023-11-06 16:36:07,"The app is BROKEN and some of the changes are NOT IMPROVEMENTS. I prefer my phone's ""Back"" button, NOT navigation by tapping onscreen arrows. Subscriber livestream notification is NONEXISTENT. I have ALL the boxes checked. Regular notifications make a sound but NOT THE CONTENT FOR WHICH I'M PAYING? (Not all livestreams are posted.) Please, fix it or I want a refund. Also, ads and ""Suggestions"" are EXCESSIVE. They feel more like HARASSMENT. Instagram is becoming more annoying than enjoyable. 👎👎"
5,2023-11-06 15:20:17,H mummy U hi jyb
1,2023-11-06 13:46:50,"You don't respect the freedom of speech. Although i didn't make any mistake about community guides, i can't write comments on posts.SHAME ON YOU 😡😡😡😡😡😡😡😡😡"
5,2023-11-06 01:02:01,Good
