Score,Date,Content
5,2023-11-10 07:51:32,good game
2,2023-11-10 07:14:29,"this app crashes consistently on start up and closes all my open apps on my phone, also crashes after watching an ad without giving the reward, meaning you have to refresh the app and rewatch the ad again. edit: the app crashed once and for all and I haven't been able to open it since, I uninstalled and moved on lol."
5,2023-11-09 18:36:10,Can u give me a code plz 😃 I already gave you 5 star
1,2023-11-09 10:19:57,"This is why i hate claude saved data game, all my progress gone. Why cant u guys just bind this game to some soccial media account?? I just chose to use cloud to restore the progress I just made, all gone. Please I never been so mad at games like this before."
5,2023-11-09 06:52:06,Really fun and entertaining
1,2023-11-09 06:04:27,Literally won't even open. I'd rate it way higher if I could actually play it.
3,2023-11-09 00:22:52,"Not a bad game. I am not a fan of the fact that watching ads is part of a quest. I do understand the developer does have to make money, but its a have to thing not a watch this ad for this and get x2 or do it this other way. The game is very relaxing and I do really enjoy the graphics as well as the little cute penguins. Its fun just to watch them interact. Update: The game still has it required for the player to have to watch ads as part of quests. The ads require you click on them usually."
1,2023-11-07 06:42:18,Incorrect map of India is used. Do you research before.
5,2023-11-06 17:29:21,I love birds and this game is relaxing and I love the cute! PENGUINS
5,2023-11-06 09:42:33,Nice
2,2023-11-06 05:19:10,The game has not opened for over a week.
5,2023-11-05 21:36:43,"Fun and chill game, great way to pass down time!"
2,2023-11-05 21:20:23,"Undoubtly a good game but after a while its all about either so many ads or invest real money in this. And it keep getting harder to progress. Event chest tickets are insanely overprised , there should be a way to open event chest by diamonds. Just shut thies non sense event if all you can give is a singe penguin for a whole month."
5,2023-11-05 21:03:32,"Put 5 stars so everyone would see this . It's a good game , it's a good concept ... BUT it gets really irritating when almost every time I get on , the videos won't load for coins and hearts . It's super irritating , especially when I have a perfect internet signal and it STILL does it most of the time . EDIT: it's years later and I love this game , it's relaxing and it's fun and I love that they have added events and such to it ! I don't have the problem I did years ago with the ads not loading"
1,2023-11-05 20:57:57,Edit: reinstalled. Let's see how this goes! no help from customer support after 3 emails. I was told to uninstall and reinstall. That would erase all progress and money spent! Horrible. Constant crashing. Today it stays black and wont open at all. Just another app that rips you off. The minute you spend money the game stops working. What a waste. I want my money back.
5,2023-11-05 12:27:46,Amazing game to relax with. Also if you have no wifi and try to watch an ad to get a reward it just gives it to you for free.
5,2023-11-05 07:59:50,Is just perfect
5,2023-11-04 21:08:36,Grand
5,2023-11-04 15:02:50,VEERY fun to
5,2023-11-04 02:21:55,Greatest
2,2023-11-01 02:00:23,Definitely a simple game. Almost too simple.
4,2023-11-01 00:43:05,AMAZING!!! I LOVE PENUINS♡ but I wish getting baby penguins were easier and the habitats like the spa is over priced but everything else is adorable ❤️‍🔥
4,2023-10-30 19:47:47,Cool game
5,2023-10-29 20:51:55,PENGUINS AAAAAHHH CUTE PENGUINS 🐧💕
2,2023-10-29 18:12:51,"Was an alright idle clicker until I switched phones and my save vanished. Don't really wanna do it all over again, so I guess I'm done. Progress slowed down pretty quickly, events are a little meh, so I guess it isn't that big a loss"
5,2023-10-29 17:01:37,amo pinguins
5,2023-10-29 09:20:14,It is super cute and relaxing
5,2023-10-28 22:53:18,Its McDonald's I'm lovin it😌
1,2023-10-28 22:26:21,"Lost everything, there no option to sync my old account. Alot of money wasted on development flaws"
3,2023-10-28 17:18:58,"If you want me to keep playing, get RID of the disgusting pimple-popping ads!!!"
1,2023-10-28 14:53:01,Shouldn't be ad tickets should be a one time purchase
3,2023-10-28 05:29:41,i have been enjoying this since pandemic. i have 1 isle left to unlock however it suddenly stopped working. i am so devastated and heartbroken. i am torn if i should just uninstall or just wait until it is fixed.
5,2023-10-28 00:08:41,"I love penguins! This game literally made my fall asleep so fast because of the music and sound effects. It's also very funny because you can trip the penguins, and just watch them while they walk around the island."
5,2023-10-27 20:35:12,Great game
1,2023-10-25 23:25:05,Very fun advanced lceland beautiful game
4,2023-10-25 22:07:09,Very fun
2,2023-10-25 18:55:41,"Haven't been able to load the game for over a month now. I was hoping one of the update would fix my issue, but the game just crashes the moment I open it."
5,2023-10-25 16:28:01,Very relaxing and easy to pick up game.
4,2023-10-24 20:44:31,"So I really like this game and gave it 5 stars originally, but recently, the game has been completely unplayable. The game will not launch. I have tried everything, but i click on the app. My screen goes black for a minute, and then it crashes. I want to finish the challenge to get the Halloween penguin but can't get in the game!"
5,2023-10-24 19:04:58,This game is awesome when you spend money LOL
4,2023-10-24 14:47:48,Good Game I can't log into my other account
5,2023-10-24 07:02:57,This is best game ever I also made eilef Tower bro
2,2023-10-24 01:15:30,"Been playing this game since 2019 but the game has been not satisfying in some areas. Highly suggested that allow to save game progress through social network accounts such as Facebook, Twitter, Instagram, or by email. Linked only to Google Play account is simply too limited. Lastly, PLEASE OPTIMISE your game! There are so many games that I have played but this game easily overheats any phone and drain battery like a leaking water tower when idling for 10 mins. Please do something about it!"
5,2023-10-23 21:35:45,"Very cute game, very cozy with a simple but calming BGM. Penguins are cute, not too many popups."
4,2023-10-23 00:44:39,"I would rate it 5 stars but I rated it 4 because the mailbox has some issues,for example it said I got gifted 3 event chest tokens but got none even after restarting the game. If you could fix the mailbox I would be very grateful."
5,2023-10-22 03:36:30,THESE PENGUINS ARE SO CUTEEEE I LOVE THEEMMMM SM😩😩❣️
5,2023-10-21 18:09:59,"I love penguins a lot, and this was lots of fun to play when am bored 🤑"
3,2023-10-21 09:51:34,"Fix the ads. I used to love this game. But now, many ads crash the game. And it's not the ads. I get the same ones on other games and no problems. Only with this game. I understand you don't make the ads, but there's obviously something on your end that makes them crash the game. It's a problem because I'm watching ads to get a reward. So now game crashes and no reward. I'll raise my rating if this gets fixed."
5,2023-10-20 08:48:07,A perfect relaxing game.
2,2023-10-19 23:03:30,"The game is so fun but i have some issues when i unlock the hot spring a hand pops up and theres no way to remove it, It gets distracting every time so please fix it i love the game tho"
1,2023-10-19 20:07:48,"HORRIBLE, CANT EVEN PLAY ANYMORE!!@ all ot does is CRASH everytime i try to open it and all cause I TRIED TO WATCH A STUPID VIDEO NEEDED TO COMPLETE A TASK!!! now i likely WONT COMPLETE THE TASKS cause the gamed that USED TO BE GREAT, now omly will crash!!!! fix this issue and i will rerate but until then, VERY DISAPPOINTED AND UNHAPPY with a game i once LOVED!"
5,2023-10-19 17:53:13,I love penguins
5,2023-10-19 07:21:43,Very good game
5,2023-10-18 16:09:29,Awesome game. Great stress reliever.
5,2023-10-17 19:35:08,"Very amazing game! I love it, but there's a problem. I wish the developer give some cloud saving so the progress didn't reset when changing device."
1,2023-10-17 11:24:41,I tried to recover an old account that was very far along in the game. It didn't work and simply showed me the same screen again and again. I restarted the game and it permanently deleted my old save and left me with a brand new account and no option to get my old account back.
5,2023-10-16 23:19:24,Cute
5,2023-10-16 18:17:54,I LOVE PENGUINS I'M GLAD EVERYONE ELSE DOES TOO XD
4,2023-10-16 15:07:35,"Cute, charming, and calming. Would be nice to have cloud saving attached to Google accounts tho"
5,2023-10-16 08:45:55,Relaxing
5,2023-10-15 19:38:35,Ni game tu seruuuu bgt juga game relax good bgt si ni game👍👍👍👍👍👍
5,2023-10-15 19:17:52,this game is 10/10
5,2023-10-15 16:01:14,So interesting I couldn't stop playing for an hour
5,2023-10-15 13:36:12,Cute!
5,2023-10-15 13:05:18,Very relaxing game. A must if you adore penguins.
5,2023-10-15 12:34:46,It is just chill and great
5,2023-10-15 12:02:24,Good stuff 👍
5,2023-10-15 09:13:04,"This is so cute, there's no intrusive ads, and I love the ambiance!"
5,2023-10-15 08:56:57,Just amazing
5,2023-10-15 07:44:10,Cute game. Love it.
5,2023-10-15 06:49:18,cute penguins tbh
5,2023-10-15 05:39:50,Wet
5,2023-10-15 02:48:09,I like penguins so it's good just last time I played it I lost all my progress when I redownloaded it again but I dont mind starting again
5,2023-10-15 01:09:42,"This game is so relaxing and cute all because of the background sounds, the soundtrack, and as well as the penguins themselves of how they are dressed for their jobs. 10/10."
5,2023-10-14 23:13:42,I love this game! Relaxing & fun!!
5,2023-10-14 22:29:08,Wow nice 👍👍👍👍👍👍👍👍🙂🙂
1,2023-10-14 14:20:08,насмотрелся рекламы.
5,2023-10-14 14:11:20,Funny game lovely
5,2023-10-14 13:10:42,I love the aesthetic of this game
5,2023-10-14 05:57:22,I love penguins so this is a great game.
3,2023-10-14 04:24:43,It is a very funny game
5,2023-10-14 03:31:01,It's so calming and nice and the penguins are adorable you have to try it it made me so much more calm
5,2023-10-13 22:27:33,Nice and relaxing game And no ad!!!!! For free
5,2023-10-13 15:50:46,Pengui
5,2023-10-13 14:33:28,This game is incredible and adorable
5,2023-10-13 13:07:31,the best game ever
4,2023-10-13 02:20:24,Nice 👍
5,2023-10-12 23:41:09,This game is adorable. It runs smoothly so far only been playing it an hour. I'll update as needed.
