Score,Date,Content
1,2023-11-10 14:11:08,You really need to update you might be asking why because you look like a willy it's true
5,2023-11-10 14:11:03,It's good
2,2023-11-10 13:26:11,why have you guy block my account for 30day i want to play the new mega raid is garchomp my buddy!!!!
4,2023-11-10 12:56:41,Fun game
4,2023-11-10 12:48:53,Events get repetitive but other than that the game has been fun since I started playing. It gives mobile players the ability to play Pokemon for free.
5,2023-11-10 12:42:40,I love this game becaise it has my favorite pokemon and I get to play with my mom and my dad and other people that I know like my neighbor Anna and her dad Josh.
5,2023-11-10 12:31:01,Fun and good exercise
1,2023-11-10 12:22:08,Removed options that increase accessibility for my family. The remote raid passes being almost twice the cost has just put a huge pay wall in the way of people who can't easily travel out to participate in raids and events.
1,2023-11-10 12:20:00,I was banned for inactivity
2,2023-11-10 12:02:50,Game used to be great but raising the price of raid passes and then limiting you to 5 per day doesn't make sense. The game constantly freezes.
1,2023-11-10 11:59:30,"Can't login into the app, failed to authenticate user error, support also not responding to the mail."
3,2023-11-10 11:55:54,Your white pokeballs are too bad. Please add a better pokeball
1,2023-11-10 11:42:31,"This game sucks. (Raid days used to be free, I remember Gengar in 2018 had a raid day for free. I remember being able to get 8 free raid passes simply by spinning gyms and was all free. I also remember when distance raid passes were only 100 coins for 1 and 250$ for three. All Niantic cares about is money)"
4,2023-11-10 11:17:29,Great app but it keeps crashing me every few mins
1,2023-11-10 11:00:29,"Only issue I have with the game is battling online with other players. It battle sequence (not gyms or raids) will constantly freeze, I could sit there and hit the button to attack nothing happens and to be honest I'd rather just play regular Pokemon at this point if I wanna battle its just not the same on Pokemon go."
5,2023-11-10 10:12:03,It good
1,2023-11-10 09:40:25,I really hate this game now because it's ban my 44 level account now i am going to delete this dirty game...😭
5,2023-11-10 09:38:57,Very nice game but there are some problems in gym battle Ieven it is very difficult to someone who cannot walk except the app is very good and a
5,2023-11-10 09:09:56,BEST GAME I EVER PLAYED!!!
2,2023-11-10 09:09:21,I'm getting really tired of having the app open and using it while I walk 2 miles and it not registering the distance. I haven't hatched an egg in a very long time.
5,2023-11-10 09:09:20,Nind
4,2023-11-10 09:02:18,A quick fix to servers and this game would be great! They just have to stay on top of Ll the downloads
3,2023-11-10 08:50:04,Why am I no longer able to use Google to bind my account?
1,2023-11-10 08:29:02,Just a shadow of its former self. Greed has destroyed what this game once was.
1,2023-11-10 08:26:58,"They won't do anything about cheaters, I suppose, so I'm uninstalling it now. What's the point of playing a rigged game. Smh. Update 11/10/23 can not win a single battle because people have 4 in a row attacks or 3 to 4 shields . How is that possible? Kick the cheaters and spoofers off! I shouldn't have to lose my streak because Niantic can't do anything about their own game. You'd think they had more power to do what's right."
1,2023-11-10 08:04:13,"Level 20 battle level consistently; the p.v.p in this game is so broken, if you missed the Greninja event you'll be lucky to win a third of your battles. Cheating is prominent, however they have successfully made it impossible to do anything about, needing a username of the person your battling (this only appears occasionally before a battle for seconds, making it impossible to save/remember without a preemptive screenshot of every battle you do)."
1,2023-11-10 08:02:57,Quit working on Wifi.
1,2023-11-10 07:41:21,It was good until the update. Everytime I get an update the game goes haywire. Can't log in or get error messages. Cmon fix the issues or put it back to when it was good.
5,2023-11-10 07:23:46,Nice game
5,2023-11-10 07:21:57,Greninja
