Score,Date,Content
1,2023-11-10 14:01:09,Keep your family and children away from this app. Unethical and against Saudi and egypt
5,2023-11-10 14:00:45,Its just interesting.But it needs to be fixed
1,2023-11-10 14:00:28,The community guidelines only seem to be viable for certain people and opinions. Hate the double standards.
2,2023-11-10 14:00:23,it keeps saying it has a bug and then when I clearly everything it still doesn't work. I've tried deleting and redownloading the app and it still doesn't work. it keeps saying it has a bug.
5,2023-11-10 13:59:52,Good 👍
5,2023-11-10 13:59:32,Excellent
5,2023-11-10 13:59:15,I like it cus its more experience more to make funny videos and not also that it gives people a lesson and move on from there past it makes me more happyer
1,2023-11-10 13:59:07,This app is biased against my country and always deleting anything that support it.
1,2023-11-10 13:58:49,Can't stand there annoying ad with the dog in the backpack being played repeatedly. Makes me want to delete tik too and the stupid game that keeps playing the stupid ad. Seriously annoying!!!!
5,2023-11-10 13:57:15,Best app for message sharing
1,2023-11-10 13:56:56,goyslop
3,2023-11-10 13:56:36,It's can delete massage
5,2023-11-10 13:56:33,"There's a bug that hasn't let me open the app all day! I work on here. Uninstalled, updated, restarted my phone. Nothing is working. Help."
1,2023-11-10 13:55:40,Bad and racist app 👎
5,2023-11-10 13:54:54,Best at everthing you want and need
1,2023-11-10 13:54:43,لاساتهم لسعودية
2,2023-11-10 13:54:04,Its getting boring
5,2023-11-10 13:54:04,It's a nice app i like it so much
1,2023-11-10 13:53:55,This app gave me down syndrome
5,2023-11-10 13:53:11,I like
5,2023-11-10 13:52:59,Thanks 🙏🙏🙏 to dis app
1,2023-11-10 13:52:29,I dont like tiktok there's like something's inappropriate like fornite nude lives I report every time and they still dont ban him but instead I told someone something about god and they game me a warning just for saying if you are a satanist you are lost and I mean more like the December 22nd incident and an ad that showed bb not allowed to say like I only 10 bro
5,2023-11-10 13:52:26,The best 🥰💕
1,2023-11-10 13:51:39,"My app isn't loading. I click tiktok, and it just doesn't open shuts straight down. I've uninstalled it 3 times and it's not stopped it. Just keeps informing me tiktok has a bug."
5,2023-11-10 13:51:32,VIEWS PROBLEM
5,2023-11-10 13:51:09,Great way to expand and reach more people
5,2023-11-10 13:50:57,Thank you for giving us the best form of entertainment
1,2023-11-10 13:50:38,App is not neutral. It is managed by certain people with pre-determined decision about my country KSA.
5,2023-11-10 13:50:37,Tik tok is my videos viral please
5,2023-11-10 13:50:11,Ah I Using this app since 4 years and this platform is very good for Express ur telend but also good in for timepass 😉
1,2023-11-10 13:50:01,Freezing
5,2023-11-10 13:49:56,You would love it..just give it a try
1,2023-11-10 13:49:45,Saudi Arabia up up 🇸🇦🇸🇦🇸🇦
2,2023-11-10 13:49:42,"Slow 😔 and I need to like, comment and follow plz"
5,2023-11-10 13:49:32,I hate this stupid app it won't update it won't work either
5,2023-11-10 13:49:26,🔥
1,2023-11-10 13:47:38,It won't open do to a bug it says. I've updated when he has update and still it won't open
5,2023-11-10 13:47:37,Bien
5,2023-11-10 13:47:22,Okay notable good new
1,2023-11-10 13:47:19,Nice
5,2023-11-10 13:47:18,Good
1,2023-11-10 13:46:22,Saudi Arabia is a red line 🇸🇦☝🏻
5,2023-11-10 13:45:43,Nice 👍👍👍
4,2023-11-10 13:44:28,Good
