Score,Date,Content,Title
4,2021-10-05 03:57:33,"Overall a great app but there are some things that could be better. CAN YOU PLEASE ADD A TEEN SECTION, its so hard to find anything good that isn’t rated TV-MA because my parents wont let me watch anything thats TV-MA. Second, CAN YOU PLEASE STOP CANCELING SHOWS. Like most of the good shows that me and a lot of other people like got canceled, whereas these completely dumb shows got like 12 seasons or a sequel. Which brings me to my next request, can you please take away all the bad elementary school shows that make me want to pull my hair out (my sister and my mom make me watch them i would never watch willingly) like kid danger, and teen love story's that basically all go the same way like the kissing booth or tall girl. Also kinda an add-on to my first request but can you make a teen profile. Like how the kid profiles are but for teens. Like there would be no nudity or extreme violence, or kids stuff like cocomelon or stuff like  what I said in request 3. but there can be like swearing and limited gore. Lastly, can you please review your ratings more because its really annoying when there’s nothing that bad about the show but its still TV-MA because theres somebody cutting their hand to get an infection out that somehow qualifies as self harm. Thats it hopefully you act on some of these I know its kinda long sorry about that but overall good app.",PLEASE READ NETFLIX
4,2021-12-30 14:48:36,1. There should be a feature where you have to enter your account with a password so many people are entering my account and deleting my favorite shows and watching other shows I do not like. 2. There shouldn’t be max accounts I hate sharing a Netflix account with my brother everyone should have a Netflix account on there own. 3. (I do not know if this feature is added) You should also add a feature that locks episodes or movies so your kids cannot watch them. 4. You should sort movies and shows by ratings like PG 13 will go in a row and TV MA there. 5. You should finish some shows. In Netflix most shows are left behind with like 3 seasons but the real show has 8. 6. You should be able to delete movies and shows from the continue list. It is so annoying. 7. Also you may wanna put a lock on PG 13 and TV 14 and TV MA  and rated R and you have to enter a pin and your face so they will know you are not young. 8. You should put a list of shows and movies that you do not like and they won’t be visible to you anymore. 9. You should put a swear word censor on the kids account or Adult account it will be in audio and subtitles. 10. No kids should watch inappropriate stuff and I been seeing on the kids profiles. I hope you can fix all this. Bye,Could be better
5,2022-10-25 17:26:12,"I have been using Netflix for years now. It is so amazing! There are unlimited shows for all ages and show types…what i mean is different types of shows for different people. Action, comedy, horror, romance, family…it’s all there. Personally, my favorite show is Bunk’d, which would be considered comedy. I highly recommend it!!! So amazing. There are so many options. One thing, though. There are some inappropriate shows that show up on even a kids profile. My mom still makes me use a kids profile because of all the inappropriate shows about nudity, drugs, etc and shows with swearing and stuff. It still shows up even on that profile. Just not as much. But could you please have that stuff ONLY on adult profiles? I don’t like seeing it, and I’d rather have a Watch Together profile, and still not see it much. My little siblings—we’re talking toddlers here—see that stuff on their profiles too. I really would like it if you didn’t have all of that. But Netflix is mostly amazing, which is why I gave it five stars, though it was close to four stars because of the inappropriate show stuff. The search bar is so easy to search stuff up, and downloading is nice too (BUT PLEASE MAKE BUNK’D DOWNLOADABLE!!!!!!!). Netflix is cool yo. 😎",Wow!
4,2022-03-13 15:55:06,"I was scrolling through Netflix and I had a wonderful thought so I decided to act on it and write to Netflix through this review. There are plenty of times when I’m scrolling through Netflix and I am trying to avoid nudity in shows and movies. Wouldn’t it be great if there were a way to toggle on and off all shows that have a specific tag instead of just the rating? For example, there are plenty of shows that are rated TV-MA and don’t have nudity that are great to watch. However, you have to filter them all yourself and check the rating before hand and it takes up a lot of time when looking for something new to view. Now, imagine if I can just go to me settings page and toggle on and off certain tags to make my browsing easier by removing shows/movies with the tag from appearing during your browsing. Now I know that doing it with every single tag would be a pain in the behind but just doing the major tags would help out a lot of people I think.  I also, want to explain what I mean by tag in the case it isn’t clear. I’m not talking about genre such as thriller, action. Etc. I’m talking about the tags associated with the rating system like nudity, extreme violence, adult content, adult language, etc.",IDEA FROM A CONSUMER/VIEWER.
3,2023-04-12 01:52:51,"Oh Netflix. I will say navigation is better on mobile than a computer - on computers when you get suggested titles there’s no easy way to rate what you’ve already watched and yet in both places that presents a problem within itself - if I’ve already watched something I wish you would remove it from the rows of shows and movies and the better way to do this would be to have a previously rated section where all these already rated shows can live. With all the content Netflix has the cluster of what you call organization is a huge turn off and I find myself using the platform less because of it.   Also, Netflix basically birthed the term binging so I also hate when you try to be like traditional cable and release shows by date - whoever decided this was a good idea - you don’t understand a competitive advantage when you have one as no one really likes having to tune in weekly if they also had the option of just watching all the way thru (time permitting of course). Again you’ve managed to take a competitive advantage and found a way to regress to be like everyone else. Sometimes people try too hard and overlook the easy reasons why they are losing subscribers and a lot of it has to do with when you lose those core things that made you great.",Doubt anyone reads these but
4,2023-07-18 00:05:26,"I would love to recommend adding a “Start Over” button prior to watching or even once the movie/tv show starts playing. I can’t tell you how many times I’ve had to swipe the lil’ timer button aalllll the way to the left o start something over & then the app freezes. Just add a Start Over button! But keep the resume button as well. People prob. want both! Would also like to remove the rating thumbs off of the screen while watching. It was fine where it was. I understand it helps y’all know what to keep as well as I’m sure it helps the algorithm to suggest shows I may be interested but I actually want to press it less now that it’s in my way. A section geared toward teens would be awesome! Not just young children. Lastly, I would also love an “Expiring Soon” section & also add a little notification as well when clicking on something to watch. Nothing I hate more than when I go to watch something & find it’s no longer on Netflix even though I added it to my watchlist within weeks or even days….Had I known, I would have watched sooner! Otherwise thanks for always being there for me :’) Been watching since the good ole mailing system days!",Some great suggestions! Please read Netflix
1,2023-05-27 13:44:33,"After years of marking up the price over and over I have finally had it with Netflix and their price increase over password sharing. I reached out to customer service to see what I could do about using the service in my home I travel to for work, as I am still in the same household as my family but would like to access Netflix. This man’s response to me was “use the mobile app” and when I said I can’t watch on my tv he said “no you have to pay 7.99 for another screen”  So I have to pay extra for a service because I travel for work and want my child to be able to watch at home still? This is how you treat customers that have been with you for years? I hear you loud and clear Netflix. Paying for 2 screens is not enough for you, you need more from me. I think you will find this move, and the way you are having your representatives address this with customers (rude and dismissive quite frankly) will be the end of your company.  No amount of original content games or reruns will entice people to pay for your app, when there are much better services out there for a lot less money. I actually think I pay in total for 4 other services for what you were going to charge me for your service in both of my locations.  I hope you will learn from this mistake, but I don’t think you will. Congrats on being the new blockbuster!",Finally canceled subscription
3,2021-11-10 23:16:55,"Their morals are obviously skewed considering the majority of the content (let’s not forget that controversial pedo-friendly film Cuties that is still up), I’m going to let my subscription lapse because I haven’t found myself on here in months. The final straw was the fact that you can only change your account settings online, not through the app— get with the times, you’re a huge conglomeration and you can’t even cancel through the app? There are tiny companies that have figured out how to offer that feature in their apps, it’s clear you just want to make it difficult for people so they’ll give up without really trying, an insidious way to make money. Like a leech. They used to have a lot more comedy specials, I’m talking at least 2 dropped a month and then shows like ‘Best of Standup’, etc., but those haven’t gotten updated in awhile, and I can always just watch rips rather than continue to support a company that- unfortunately like most- has questionable standards and chooses to invest in ideas for shows and movies that are just, I mean, over-the-top sexual, violent, etc., in a way that it’s just like, we get it you’re trying to shape the world so it thinks this stuff is ok, but anyone with any morals, will always know it’s not. You’re just trying to convince yourself.",Meh
3,2020-03-05 23:01:35,"I love Netflix and admittedly have things streaming far too often throughout the day. Everything works beautifully and it’s easy to search for what you’re looking for and the list of saved shows is fine too. My big issue, however, is with the currently watching area on the tv app, phone app, and website. Sure there are tons (and I mean TONS) of articles all over the web giving instructions on how to remove shows from the currently watching section that you no longer want to view, but Netflix it’s your job to provide an easier method for doing this. It’s unrealistic to expect people to go into their history and delete a millions episodes of a show just to get to the movies and whatever other shows they need to remove from that section. Just allow a space on the titles to remove them from that area. Especially for shows or movies that you try out and end up not liking. They stay there for months! Also, the app on tv plays the show or movie just when you’re trying to read the info about it and guess what?? That also adds that title to currently watching! Fix this issue please! It’s 2020! We shouldn’t have to google the hundreds of articles teaching people how to get around your archaic ways with this one thing. Do better, Netflix.",Currently watching is a nightmare!
4,2022-11-05 17:44:12,"ok i love this app a lot but i have a few minor problems. for starters there should be like a teen-tween section for kids 12-16 because it's hard to find good shows or movies for my age group that's not boring or wrong age group.  another minor problem, i find it kinda annoying how netflix only has like 2 out of 5 seasons of certain shows like just put the whole series in there instead of bits and pieces of it. personally it's not THAT bad but it's still kinda annoying. another problem,  STOP CANCELLING SHOWS!!!!!! i swear it's so annoying how i'm like halfway through a show and then it gets canceled meanwhile dumb kid shows that BARELY ANYONE WATCHES gets like 15 seasons and like 100 episodes meanwhile the show i'm halfway through gets canceled ON A CLIFFHANGER!!!! i have one good ideas to help improve the whole cancellation system. every other month have some sort of poll to like see what shows people still watch and see what people don't watch so you can cancel things without people being mad at y'all. like i said before, great app, use it daily but PLEASE PLEASE PLEASE consider some of these ideas i feel like if they get added then your app could be AWESOME. please consider my ideas. thanks",PLEASE READ AND CONSIDER MY IDEAS
