Score,Date,Content,Title
5,2023-11-10 05:23:21,"First of all, if you haven’t used Square cash yet make sure to enter the reward coupon “BFSLBFB ” on the sign up screen to get a $15 bonus after you send your first transfer over $15!!!! Enter it after it asks for your number. If you’ve already signed up you can enter the reward coupon on the profile menu if you scroll to the very bottom. The service itself exceeds the competition found in PayPal and Venmo in its ease of use. Sign up is super easy and very convincing for friends, particularly when out to dinner in San Francisco where asking the waiter to split a bill is like pulling out your teeth. I like the fact that I can send money to anyone even if they haven’t signed up with Square yet. The app is simple to use, swift and clean. There are two options for transferring money to your bank. Either instant deposit which takes a small fee, or the next day. Or you can keep the money in your account, and use the square debit card for any online purchase. You can even request a sleek looking physical debit card and use that anywhere. The app itself seems secure, especially with the touch ID integration for quick payment. This app has changed how I exchange money with friends or even new acquaintances!! I’ve even started using it to pay rent directly to my landlord. Welcome to the new modern era. Square cash is now my go to for quick payment transfers to friends and family. Overall you should definitely give it a try, especially with the $15 bonus it gives you!!!!",Great app!
5,2023-01-05 19:34:47,"my current job gave some false information about my check so i went and asked cashapp support (who i have talked to about several things in the past and have had excellent run-ins every single time) and they made everything so much easier. the auto reply bot told me it might be a little while and apologized for the inconvenience. once my support team member told me he was ready he answered my question literally in one minute. gave me all of the information i needed and even checked if my direct deposit was pending yet.  all of this goodness isnt even why i decided to write this review.  in every other app who has asked for my thoughts they asked me in app AND THEN ASKED ME AGAIN and took me to the app store. but cashapp was different. they just gave me some buttons to press to speed up my process but still cared about my thoughts. (the buttons were the stars and some pre-wrote responses) and all i had to do was submit and they left me alone. THANK YOU GUYS! i use your app all the time to send and receive money from my friends. the ONLY thing that i wish was different was the age to get your cash flow coming in changed to be more than $1,000 per month while your under 18. i am 17 years old with my ged and i work full time so i have alot more than $1000 per month coming in which limits me from using cashapp over everything else. thank you for everything guys, and if you could do anything to help me with getting that changed that would be wonderful. thank you!",my fav app ever
5,2023-04-17 17:22:54,"My current job gave some false information about my check so i went and asked cashapp support (who i have talked to about several things in the past and have had excellent run-ins every single time) and they made everything so much easier. the auto reply bot told me it might be a little while and apologized for the inconvenience. once my support team member told me he was ready he answered my question literally in one minute. gave me all of the information i needed and even checked if my direct deposit was pending yet. all of this goodness isnt even why i decided to write this review. in every other app who has asked for my thoughts they asked me in app AND THEN ASKED ME AGAIN and took me to the app store. but cashapp was different. they just gave me some buttons to press to speed up my process but still cared about my thoughts. (the buttons were the stars and some pre-wrote responses) and all i had to do was submit and they left me alone. THANK YOU GUYS! i use your app all the time to send and receive money from my friends. the ONLY thing that i wish was different was the age to get your cash flow coming in changed to be more than $1,000 per month while your under 18. i am 17 years old with my ged and i work full time so i have alot more than $1000 per month coming in which limits me from using cashapp over everything else. thank you for everything guys, and if you could do anything to help me with getting that changed that would be wonderful. thank you!",Top app
5,2023-04-01 01:26:04,"I have had CashApp for 5-7 years now. I have direct deposit from my job to my cashapp. I have done my taxes through cashapp for years as well. I have never had any kind of issues with cashapp. And when I have had issues with other companies or purchases, CashApp customer service was 100% on my side. CashApp also has a borrow feature now where you can basically get a quick loan if you ever have an emergency or just need some extra cash fast. No hassle or background checks. Quick and easy, I’m your account in less than one minute! And it will allow you to borrow several hundreds of dollars (depending on how long you have had your account, and how much you keep in it). CashApp also has a savings account! You can do round ups on every purchase and save the change automatically in your savings account! I cannot express enough how easy/simple this app is! And I used it heavily for EVERYTHING! I never have to touch real money anymore since using CashApp. Oh, and unlimited atm withdraws from select atms (they have a map to show you where to go). Again, I like this app for all my banking needs. It’s easy to use, and has so many perks! (I forgot to add that you can add “boosts” to your card for % off purchases, or bitcoin earning, and even cash back!) I even set one up for my kids! Easy to transfer cash when they need it and are away from home. Easy to send them their allowance also. I 100% recommended CashApp!!!",Highly recommend!!!
5,2021-08-23 03:52:51,"I love this app! I have 4 kids and they borrow and pay me back. I sell a lot of items and use it for taking payments from my renters.  It can categorize each person and the payments I’ve made to them & the payments I have received from them. I can pull up one person & look at the entire account. It allows you to state what the money is for so u can keep track of it. PayPal which is not free! I do not use now. I have Zelle, however, it does not keep track of how much Is paid or received. You can not pull up an individual to see all the transactions for the one person.  Which is what I love about the cash app! I was able to keep track of how much I paid for my daughter’s wedding. Her dress, shoes, veil, hair, nails, and all the decorations.  I was able to keep track of how much I spent.  I could pull her name up and look at everything that I had spent on her and her wedding. 😊😊 I love that it is free!! No fees! I have my renters pay me using the cash app. It’s easy to track who has paid and how much to date!  When I’m selling something and they want to use the cash app to pay me. I can send them a link and I make money because I sent them the link so when they download the cash app and pay for items that I have for sale, cash app sends me a bonus! It stated out at $5.  I am now up to $15 per person that uses my link to the cash app. That’s awesome! I love that bonus!",Cash app is a must! The best app to have!
4,2022-12-07 04:48:28,"After using the app for a couple years, I have had a pretty positive experience, I use direct deposit and use it as my main source of managing my funds. I get paid early and direct deposits from other stuff comes in quick too. Able to pay my friends and family quickly, I would say the only time I had a bad experience is when someone got my card and cashapp did not refund my money. Used at McDonald’s over and over and in my foolishness sent the wrong person money on accident. Cash app didn’t do anything sadly and the person got away with my funds. I have to say in conclusion the app has a lot of features and convenience, but the company lacks the empathy and insurance surrounding your funds. It’s definitely better to have your main income in the bank and use cashapp secondary. I currently use it primarily but would not recommend it. They offer a cash advance that I was able to get up to couple hundred dollars before pay which is very awesome. That is definitely the big perk about using the app as your main fund source, that and the 2 day early pay. Of course they also have discounts at a bunch of different restaurants and stores when using your card you just have to choose the boost you want. Definitely enjoy using the app and card, the convenience and usability is far from others. Being able to load money from a bunch of places for $1, no atm fees if you deposit a certain amount a month, just a bunch of perks and features.",My Cashapp Experience
5,2023-05-07 23:09:57,"Love Cash App!! Love my Cash App Card that you can personalize your own cash app card too. Love to convenience the cash app gives you to send money to my children to my family and friends it’s really came in handy for us to send money whenever one of is needing it. I can send money right from my cash app on my phone from my cash app to my family members,my spouse or friends as long as someone has a cash app account or if a person has a bank account linked to their own personal backing account and set up on cash app you can even send or receive from them too you can also get paid sooner from an employer and have your weekly/bi weekly payroll checks directed deposited into you cash app account. Every cash app account gets a personalized Banking Account number & Routing number  to each individual cash app account just give those numbers to your employer for your checks to be direct deposited. Cash app also sends texts alerts to your mobile phone for every purchase made from your cash app card account if you set it up and you can even get email alerts for each purchase, when you send or receive money from your cash app account. You get email alerts each month with your banking statements and purchase summary on your account. Highly recommend getting the Cash App !!!  Go to your Apple App Store or Google Play Store on your mobile device and download the Cash App today!!",Cash App
5,2023-10-12 00:58:51,"If YOU haven't used Square cash yet, make sure to enter the reward coupon!🤑🤑 ""NXD6VWT"" on the sign up screen to get a $30 bonus after you send your first transfer over $5!!!! Enter it after it asks for your number. If you've already signed up you can enter the reward coupon on the profile menu if you scroll to the very bottom. The service itself exceeds the competition found in PayPal and Venmo in its ease of use. Sign up is super easy and very convincing for friends, particularly when out to dinner in San Francisco where asking the waiter to split a bill is like pulling out your teeth. I like the fact that I can send money to anyone even if they haven't signed up with Square yet. The app is simple to use, swift and clean. There are two options for transferring money to your bank. Either instant deposit which takes a small fee, or the next day. Or you can keep the money in your account, and use the square debit card for any online purchase. You can even request a sleek looking physical debit card and use that anywhere. The app itself seems secure, especially with the touch ID integration for quick payment. This app has changed how I exchange money with friends or even new acquaintances!! I've even started using it to pay rent directly to my landlord. Welcome to the new modern era. Square",30$ Promo for NEW USERS / New Accounts w Newly Linked Bank!
5,2023-09-21 22:04:01,"At first I did not understand what people were saying by “do not store/save/build up/use cash app like a bank account”. Understanding now, now I know that they meant the amount of money you keep on the actual cash app card itself. The cool thing is, YOU DO NOT HAVE TO LINK YOUR BANK ACCOUNT TO YOUR CASH APP CARD👍. You can link your debit card/s to your cash app card. Meaning, if money somehow happens to get lost/hacked/stolen, it will not be any more than what you put on your card, from your debit or bank(which ever one you decided to connect). You can also manually lock your card!👍 Also from what I have seen, cash app will not allow over withdrawals. Also a good thing. It would not be good to have money automatically taken from your debit/bank account and transferred to your cash app card without knowing(accidentally). It cancels the transaction until you🫵 add the correct amount. Two things I wish cash app would do(maybe it does), is send automatic alerts on upgrading or fixes directly to you without having to look into it. Just to allow you to prepare, if there are or will be small issues. There support team does a decent job giving info when you click on them though. The other is, allow short messaging/texting.🤔 All around though, I love cash app!🥰","Cash app is king, hopefully here to stay!🏁"
5,2022-02-26 12:49:37,"I have what my old tax lady called “very complicated taxes”. If I go to HR block or any tax place that advertises $40 taxes or something like that, they look at my tax folder for the year and try to charge me a bundle. I paid over a thousand dollars once and the lowest I have paid is $450 in the last 5 years. I own more than three unrelated businesses, have rental houses that are all diff addresses, I work W2 and 1099 jobs and usually have a half inch stack of w2s cause I quit readily, I have multiple stock and bitcoin trading accounts that I use for different strategies, I often get 1099G and 1099misc, I make large donations… my taxes are long and take a tax person a whole day or two to do. A lot of my write offs and etc need me to be there to walk the tax people through when they do them so I figure I might as well do them myself. A lot of the free tax services will make you fill it all out then at the end will say “you grossed over $60,000 this year so you have to pay X amount” or “state taxes costs $10” after I just spent 14 hours inputting everything. Cash app luckily lets me do all my taxes for free on there and is just as easy as any other program. You don’t have to put your refund into cash app but I did anyway cause cash app is awesome. I’m waiting for a buying opportunity for a thousand shares of SQ too.",Taxes fully free. Thanks much SQ!
2,2022-07-12 15:22:56,When you call in or when you go onto the app and you send a message to support and you tell them you're not able to buy bitcoin because it tells you unable to purchase it this time or you try to add money and it tells you that it's not able to dang you message them and you tell them and they have no read they don't want they don't have no answers on why you are not able to buy bitcoin or add money to your account they just tell you that there's security parameters sometimes if I see something it doesn't like it doesn't let you purchase you're pulling from your own bank account so there shouldn't be any issues it's your money but yet somebody used my bitcoin or my bank account on their cash app and pulled over $1600 and they did nothing about that I don't know how she got my information nobody helps you with this app that used to be the best app to buy bitcoin to send bitcoin because of the price but ever since 2020 this is become the worst app to deal with they might as well fire fire all the customer support because they don't have no information for you when you messaging because they rely more on the computer to take care of the app then people which is stupid that's the problem holidays people are too lazy they want everything for free what's wrong with society it's build up of a bunch of sheep they don't want to work for nothing they have no opinion they just get in their little bubbles and follow everyone else,Why do they have customer service
5,2022-05-29 04:34:08,"I’ve made a purchase a month ago back in April with Cashapp. This was my first and last time using Cashapp. The person who was selling purses was inquiring that I use Cashapp for the payment. I proceeded with the purchase and she accepted the money. I was asking for the tracking number but she never told me it. All she said was that it was shipped and I would receive them in a few days. I kept waiting and asking for the tracking number so I could find out where they where, but she ignored the question and only told me what day I would receive it. It was the day she told me I would receive them but never did. When I messaged her, I said I never received it and then she blocked me. When I reported my refunds twice, both were denied. I received a notification saying “Scam Reported: We we’re unable to recover your money. However, your report will help to prevent future scams, thank you.” What is with this, I can’t receive my refund but it’ll help prevent future scams??? I even chatted with customer service and they told me that they can’t do anything about it since my transaction was already completed. I also saw her account was still active on Cashapp. I’ve done everything I could, only to be a “warning” to future scams. Absolutely disappointed…","Scammed and Blocked, doesn’t help customers…"
3,2023-02-10 18:33:55,"While I appreciate that this app allows for the transfer of money freely between people, bank accounts, debit cards, etc., it’s very frustrating that every 60-90 days, the auto cash out feature stops working and then I have to go through Plaid to input the user credentials for my linked bank account. Cash app doesn’t ever acknowledge that the system has glitches. I keep advising Support over and over again that a linked bank account should not delink itself and the Support person or bot becomes confused like I am speaking a different language. I have no idea why it is so difficult for creators and technical support for applications and programs to be honest, transparent, and helpful. A Support person will send a user through the same process that the user completed 3-4 months ago and that was successful at that time and then have the user do the same thing again without admitting or advising that there must be an issue. If you’re asking me to do the same thing that I did when I set up my account and I haven’t changed anything, then that means something is wrong. My bank tells me that this isn’t a problem on its end. So, I’m extremely annoyed that the simplest of features have become so unreliable and cumbersome through Cash app. Please fix the Auto Cash Out feature so that the user’s initial settings and linkage to a bank account are preserved!",Auto Cash Out Has Periodic Errors
5,2020-10-22 13:00:14,"I really wish that cash app would do better about how refunds are able to be returned to senders, especially when a service has not been completed. They leave up to the recipient on whether or not if they want to return the money or not. Some people are not that honest and will not return money and that is not okay. You have scammers on there who create accounts for non existent businesses that steal people’s money and it never gets return because the person changes their info and these thieves keep the payments. it’s not okay. Your good, but it could be better.  Follow up: I recently contacted the recipient about getting the money back on an a service that was not completed and the recipient declined the return transaction. This is after I I was told to reach out to the recipient by Cash App support and like I said, the recipient declined the transaction. I still say, it is not okay to give the recipient  the option to determine whether or not they will give the money back. Some people are not as forth coming and honest. At this point, it’s not even about the money, it’s about the principle. I highly doubt that Cash app is unaware that there are dishonest people on here using their app to lie and steal from other Cash app users. That’s why I said, what is the harm in creating an option for a sender to reverse a payment or something.",Refund issues
