Score,Date,Content,Title
5,2020-01-09 13:23:07,"As someone who struggles with some memory deterioration and constant information overload and who takes mental health very seriously, I always look for ways to improve the neural connections of my brain. After coming across Impulse, I figured I would give it a go. I have just completed the 30-day brain workout plan and feel real improvement now: it becomes easier for me to concentrate on the particular task and my working memory seems to be better as well. Not sure whether the same may be fully related to the use of this app, but I don’t care as long as I see results. I have bought the lifetime plan and consider this as a huge investment in my mental health. Planning to start a new workout but not sure whether to go for 30 or for 10 days. It would be great to see some recommendations after finishing the 30-day plan. Also, I enjoy solving brain-teasers a lot. Just a small suggestion here - would be really interesting to see how other players answered to brain-teasers. The only thing I wish this app have is more training areas, like creativity, brain speed, etc. Also would appreciate more games and exercises (still, worth to mention that the developer adds new content regularly). So, it’s a legit app and thank you for creating it.",The best brain training app ever!
5,2022-09-04 02:23:27,"Thanks to this app I now know  personality type and have been more of myself.  Knowing how i am on a scientific scale has helped me narrow down on my strengths and weaknesses and has since improved my ability to connect with my family, friends and even in my marriage. Everyone I know has taken the personality test and has inevitably had the “Ahah” moment. Upon sharing with others we all say” well that makes sense. “ This app has fantastic games that are challenging, fun and really get the brain juices flowing as they get harder. I really like the diversity in games and the fact that they all challenge in different important skills. My favorite are the ones where you have to put a box together in your mind and be able to rotate it mentally to see all sides in order to be able to answer correctly. Another good one is the math challenge. Frankly for anyone like me or otherwise with the desire to see the world from multiple perspectives and solve problems with practical yet unconventional methods this is a great app to get short form challenges to stimulate the mind.",The best app for a cognitive boost
5,2023-01-23 21:04:03,"I don't exactly pay for anything on the app store considering I feel the need that I don't have to. It's hard finding good and productive apps to help me succeed mentally and keep me on the right track, most of them are in-app purchases and you can only get so far before you can't do anything else without paying. Impulse is a good app for letting you use the app for free for however long and you can pay for more options if you feel free to. There are different training exercises that focus on different parts of your brain, it will also show how you did after the game.   The app gives different games everyday so even if you complete all of the games you can play more the next day and repeat. The app helps me most with memory since I can't remember a lot of things, it builds strength to the brain and its very beneficial. The app keeps me from getting bored and it's educational, kind of like when your a kid and you don't realize the educational games are helping you learn since your having fun in the process.",Impulse is a good app
3,2023-07-08 22:55:06,"So I’m fine with ads. Shoving them down my throat does absolutely nothing to encourage me to pay. Lol instead I don’t pay just out of spite. But when you show a questionable ad that only got worse once I tried reporting it… that’s when there’s a problem. Especially since I’m good at certain games and after every level there’s an ad. Which is fine.. but not when it’s showing a woman bending over with her behind arched up as high as it can go so that it’s eye level with a dude basically sniffing her snatch.. If I wanted to see that all that… I’d go watch porn on a platform made for porn. Not an app that’s rated ages 4+ with no way to report such ads. Obviously it’s not straight up porn but it’s so implied that it looks like you’re watching porn. Fortunately I found a loophole to skip all ads. If you add a report feature that will allow the user to stop seeing ads from a specific company/developer (because the developers make several different ads), then I’ll go ahead and tell you how anyone can skip the ads, without violating any terms and conditions.  Edit: I’m not turning on personalized ads to change what ads I get.",Stop showing porn
5,2022-12-07 13:09:57,"If you’re looking for an app that’s fun, relaxing and keeps your mind occupied/focused, this is it. I’ve only had this app for a short period of time but I can already say I enjoy it so much. I haven’t been in school for years, since then I’ve been working full time but I always felt the need to keep my brain active and this app does just that. There’s many different games, puzzles, quizzes, etc to choose from and the best part is that they keep track of your progress throughout every different criteria. An example of a test I took was the Personality test and let’s just say after I learned my personality type I realized a lot about myself . I’m not saying the tests are 100% accurate but for me at least I benefited from finding out. I even did my own research on the personality type impulse gave me and it was nearly spot on for the type of person I know I am personally. Definitely check out this it. Btw there are ads but you can skip them, I find them Annoying so I’ll probably end up subscribing for no ads.",Get Great!!!
5,2022-01-01 16:47:13,"I saw this being advertised on Instagram and had been in the mood to get back into brain training. I truly believe everyone should have a brain training app, but this one beats them all. I’ve used the competitors BAXK in the past when I was in high school, now that I’m older, I can say this one has a more in-depth method of training and the games are really addicting. So much so I don’t want to do the recommended games, I want to play them all! But strict habits are good long term so I keep reserved, haha. Anyhow, they have different areas of brain training. You have your daily, then you have certain sections, I.e: Memory, Mental Math, etc. I got the 50% lifetime and honestly best money I’ve spent. If you want to sharpen focus, mental math, or even just feel like you’re not as ‘sharp’ as you used to be, you need to get this app and the subscription to follow. IQ tests on here and that’s something I’ve never seen those other apps have. Grateful for discovering this organization. I don’t even write reviews but this is one that had to be written.",Simply amazing.
4,2023-02-20 13:40:16,"Since I’ve added this to my daily routine I’ve honestly felt more motivated and have been doing well with thinking on my feet, which I am very grateful for. However, in the app they bombard you with deals off the premium subscription, they give you up to “96% off!!” Claiming it’ll only be there for a while, which isn’t really true. It doesn’t really affect gameplay though because you can still play some games, and you can complete your daily challenges without premium. My big issue is the tests that they have. Some include trauma response tests, IQ tests, etc. I wanted to do one, so I took the time to complete the test, and then only afterword was I told that I needed premium to see my answers… now I’m not here to beg to make the app totally free, but at least state a somewhere clearly that you need premium to unlock your answers. Or just don’t allow people to take the test unless they have premium. Anyway, that’s pretty much the only thing I have against this game, and all in all it’s been a great addition to my daily routine!!! Thanks!!!","It’s pretty good, just not 100% upfront."
5,2020-01-13 07:51:34,"I don’t usually write reviews, but in this case, I decided to make an exception. So glad I came across this app a few weeks ago! Thanks to it I finally realized how poor my math skills are... But the thing is they were not like this all the time! Back at school, I was really good at math, not the best in the class, but really good! And look at what happened... I avoided doing some simple math on my own, thinking it would save me some time (or maybe I was just lazy), and as a result, having faced the tasks in Impulse math category, I saw how big my problem is. Huge, actually. The tasks and the games are not that difficult, they really aren’t. And back in the day, they would be a piece of cake for me. And now it feels like starting all over... But the good thing is that doing it with the app helps! I’ve been getting better and hope for more results!  My only suggestion would be to include more games to the Language category, just like Math it seems really useful. Oh, and the math lessons! They’re amazing! But it took me time to find them. Thank you!!!",Love this app!
4,2021-11-15 05:06:14,"So far I have played the game for two days and I like the fact of being challenged . and not knowing what to expect next. This game so far seems to give me a challenge based off of things that we have to deal with every day in daily life issues. Whether those things are good things or bad things, things that you have to ponder on etc. it challenged you and took you out of your zone that you may have been in at that moment. I’m looking forward to learning new things expanding my brain span ,and being challenged daily, because what I’m beginning to see go on in this world… we need to stay woke ,and pay attention to what’s actually happening before our eyes while being distracted with daily nuances. So we all need things that we can focus in on daily, to help keep us focused on what’s important .I think this game will be a segue into that for lots of people that find it hard to multitask at times, becauseWe get distracted. Being able to focus is important for anything that we do in life, and I think that this game is just fun tool that could help.",How much I like it
5,2023-11-04 16:32:53,"I love the new game each time, and how they begin easy to learn how well you do.  The game said that the next time the game will be harder, but for the week or three that I finally started playing it (my adhd daughter recommended it to me because other games would bore me as soon as i got really good at them.   Each game has benefits, an example is one where you had to remember which squares had a football helmet, representing opponents. They disappeared and then two footballs appear. You have to make a path from one football to the second without using the square a helmet was in , using only your memory.   They do a tutorial and just allow it to play out, don’t rush it, and you should then fully understand how the game works.  You never play the same game twice in a row.  (Unless you select replay). It’s helpful for neurodivergent people and anyone who wants to help their memory skills develop.  I really enjoy it, but I think that’s obvious by now haha.",Great for people with ADHD but fun for all
