Score,Date,Content,Title
4,2023-09-20 19:49:57,"I have played Minecraft for a long time. Ever since this update came (the one where you can now crawl not in Bella) I have saw many things happening. The first one being is when placing/breaking blocks I see some black shadow come up and go out of my screen. Two. I’m not sure if it’s me or the game but when I use a repeating command block and try to put in where to TP too it just won’t work. What I mean by this is even if I put in the position it won’t work. Then last one 3. I’m not sure how to crawl because I’m playing on IPhone and not computer. This is all I have of the problems but in my opinion, I think some new things should be added. The first one is putting back where you can tame ocelots. 2. Maybe make like task you have to do to get free minecoins because I just don’t think you should pay for it and have to pay for the game. 3. Maybe make like a group/website, put in names of peoples user name,spin a wheel and whoever it lands on they give ideas to put in Minecraft. 4. Like I said earlier, I also don’t think it’s right to make people buy the game, pay for minecoins, and now have to make a Microsoft account with it just to be able to join servers and play with friends. And 5. Make different kinds or types of wolves. This is all I have now and I really think everyone should play Minecraft of all age. Thank you for reading this :)",Why I put in a 4 star rating
5,2022-08-03 17:27:37,So first time I went into survival it was hard so I went into creative mode and I Spond frogs since you’re allowed to and a few days later I made a house yeah it was fun in a few days later I realize something that I can get commands so then I got a barrier block it was pretty fun this game is very good for probably 4+ or if you’re older than probably better and then I saw the cutest little thing it was a baby bunny in Minecraft guess what I did I hit it and then I got rabbit Leg which is supposedly very rare but I get rabbit leg a lot so it isn’t really rare just like the title says it’s hard on iPad but once you get used to it it gets so much easier so definitely probably go on a PC it’s probably much easier sorry that this is so long this is probably the best game ever so I recommend you playing this🤩🤩☺️ yes it is that good so definitely play this game it is literally the best I’m trying to figure out how to get mods🧐🧐so yeah sometimes it gets laggy in don’t be alarmed if when you like play a different game on your device and it really sets the world on Minecraft it’s probably just making sure that it isn’t laggy or there isn’t like any hackers or something like that so if you don’t want any random people joining then just go to settings I mean you probably can’t go to settings you have to like press the pencil and then you can press multiplayer and there you go dang this is long bye have a good day,It is a little hard on iPad  i recommend creative
5,2023-07-11 22:25:01,I wanted to play this game because my brother played it all the time and I fell in love with this game after a few days. It is definitely a must play and is really one of my favorite games ever and if there is a top 5 best games this game will make sense if its on there🥰 There is some bugs that I have noticed but not as many as some other games that I played. If you want to be a builder this game is for you but it is also about crafting and fighting that is not that hard and it is really fun if you do creative and not as fun if you do survival but it is still fun! Also has rules for your first time like don’t dig straight down there might be lava under you don’t place a bed in the neither and end dimensions because it will explode and if you have a lot of stuff in survival mode don’t let a monster kill you because your stuff will fall out ( but it won’t fall out when you load your world and put the no falling out stuff when you die mode on.) And extra ones like don’t look into a endermen’s eyes (the endermen are the black monsters with purple eyes) and if you do it will get mad and try to kill you and don’t activate the skull sencers in the caves and if you do ( by making loud noises) the warden will spawn and try to elemenate you and watch out because it does lots of damage. And that was some stuff and tips that you now know about Minecraft and it is worth to play!,should be in the top 5 best games
5,2022-06-03 23:17:24,"I was in the App Store looking for another app till I saw this game,Minecraft. I have heard of it before,some people say it’s a awesome game so,I downloaded it! And just like other poeple said. ITS AWESOME!!!!! Usually I used to have it on easy and not noticing I can change the game mode. I was really scared of the lava,spiders,monsters, and the skeletons I hated them I couldn’t fight them! ☹️🙁 And how I learned I can change the game mode is when a spider fell on my face! 🕷😱😱😱 I can also spawn animals which I like to do that so I can tame animals like wolves and cats also pandas I love when I can feed the pandas it’s adorable if u wanna tame a cat use raw fish 🐟🤢🤢🤢 anyways sorry if this review is to long but if u have read this review u should totally download this!! Bai! :EDIT: This game is awesome like me from 5 years ago said!! ^^ Anyways,just 1 thing…for some reason when I hopped on Minecraft inside the game I was signed out and I couldn’t log in!! So I have no idea if I was hacked or something went wrong with minecraft or my tablet (maybe it was my tablet it was like made 7 years ago-) but I don’t know I’ll see if I can try to fix these..but please send me some information that could possibly help me get my account back!! Anyways my recommendation is……people who like exploring and like roleplaying with made up creatures made up worlds and likes making houses and survival games then….this game is for you!!!",Minecraft Mob 👁👃🏼👁
5,2023-10-08 07:18:41,I used to think that to play this game you needed friends and if you started a world it would force you to play with other people you didn’t know… that is not true! It’s very good game it good if you have friends it a good game if you don’t it’s a good game if you wanna play with people and it’s a good game if you don’t… it’s good for if you like parkour if you like bonding with people over jokes in the mines it’s a good game if you like participating in challenges it’s a good game if you like making a dream perfect house for your pets and yourself (and maybe friends if you’re feeling nice that day) it’s a good game if you like farming it’s a good game if you like telling stories through books and mysteries it’s a good game if you like building towns and family’s that don’t really exist it’s a good game if you like re-creating things in the real world and spending so much time on it (with or without help from other people) then look at it and just feel great that you made that it’s a good game if you like survival games where you can build an honest life (again with or without other people) it also has lovely music that I like listening to even when I’m not playing the game also the animals in the game are very cool and their still adding more to be amazed by! Over all very good game for almost everyone on this earth!  All the best no complaints October 8th 2023 at 12 in the morning            -✨Me✨,10/10
5,2022-08-07 23:05:39,"You must play this game. Why? Well, I have played Minecraft for over 6 years now and it’s great. You can play in creative if you are more of the builder, and doesn’t want mobs creeping up and killing you. But you can also play survival where you try not to die and fight your way to the end to kill the dragon steal the egg, then go home to your beautiful base or moving house to kill the wither to make a beacon. Or you can just have fun explore and play. You can be very creative in this game and creative cool inventions using Redstone. This game is very cool and you should try it out if you don’t like it then I’m sorry. In Minecraft you can install mods or make your own mods to go into the game! You can play with your friends and family and have a fun time! All the while trying not to die if you are in survival. In creative you have all the blocks you need! And there’s different “levels” or like types of how you want your game to be if you are a beginner and think that being on normal mode is to are you can go to easy mode, or if you think that normal it too easy you can go to hard mode! You can make the world to your pleasure and and even play on a server with other people. There is also a market place if you want to share your creativity with other people. But you should really get this game and try it out. Peace out hope you have fun. ✌️","Read me, b/c you must play this game. °v°"
5,2022-06-18 04:02:25,"I love the game, which is why I gave it 5 stars, but there’s this mod I want to talk about. So I already put a one star review on that mod, but I want to say this by review unless I can do it by email. *Inhale* so basically theres a mod in your marketplace that rips you off. (Im not going to say scam because the mod is free but it now takes up my space.) the mod is named Axolotl Islands: Slime Machines made by Tetrascape. I downloaded it because it seemed pretty cool (and also because I adore axolotls, I mean who doesn’t?!), the game wants you to find out how to work it yourself, it doesn’t even tell you what to do in the game or the description!! All you do in the mod is walk around and try to get through portals and look at axolotls in the middle of nowhere. A green arrow is above one of the axolotls, (the yellow and pink one) so I supposed I have to talk to it. There was no button that let me talk to it. The game is basically broken. Since the developer put you in creative mode I looked at the menu to see what items there are not knowing what I was doing, I thought I found something that would open the portals but nothing. The pictures of the game show that there are different islands you can go to, I looked around for an hour trying to find an island. Nothing. Nada. Tetrascape obviously did a terrible job on the mod and now takes up my storage. Thanks a lot.",Basically theres a mod that scams you
5,2020-01-02 20:24:41,"I’ve been playing Minecraft PE since 2011 and it’s awesome! But ever since Character Creator has been added to the game, my custom skins have been looking off. I use slim-armed skins because I prefer them over classic skins but the glitch only occurs on slim-armed skins. Let’s say you have a slim-armed skin, and you wanted a unique design on each leg. Like different-lengthened socks, or a flower on one and a star on the other. Then when you upload the skin on the game, whatever way you designed the right leg (it looks like the left leg if you look straight at the skin) gets copy and pasted automatically onto the left leg (right leg if you look at the skin straight at the face). It looks distorted, as I don’t know if other players can or cannot see the error besides yourself, but it’s basically both legs are symmetrical while a lot of skin designers like not making symmetrical, and the second layer on the leg that gets changed to looking like the other stays. So basically the glitched leg looks exactly like the other leg that looks perfectly fine, but has second layer on it. Like then both legs would have like a flower on it but the star’s second layer is stuck on top of the copy and pasted flower. Pretty odd right? For me it makes me feel like I have OCD, I can’t stand skins that have something off on it, sorry. It doesn’t do the glitch on classic skins though. So, if you can fix it, please do.",Weird custom skin glitch
5,2020-08-03 08:16:47,"Hi. So, first off I would like to start this review off with talking about how much I love this game. I downloaded this game years ago and still love it. It’s ultimately a great game. Here’s some of my requests you should do. First off, could you guys please make the game where you don’t need wifi to be able to join people? It always makes road trips boring for me if I want to play minecraft with a friend. Also, if you guys could make it where people can share a wolf. My first wolf from the beginning passed away tonight due to a skeleton attack. Right before he was killed he had just made a baby with my friends dog, Morgan, they had already had baby earlier on named April. I wanted another one, and decided to breed them again. A few seconds after that Buddy (My wolf) was killed. It was devastating. We named the baby after Buddy, Buddy Jr., it would just be so convenient for us both to control him. Considering we are his aunts. But Buddy Jr. mostly has to stay with his dad, Morgan, because he needs to live with his dad. Anyways my point is please make it where people can control other dogs. My third request is that you guys add slabs that are vertical. Everyone’s been asking for these, and it would be very useful, and helpful. Also if you could make it where villagers, foxes, and mobs can be leashed. That’s all my requests for now. Thank you!",Addicted to this game!
5,2022-07-06 04:36:39,Minecraft PC is already good at this game just amplifies it and this game has some features that are not really NPC obviously most of the PC players after you get the updates faster but like you do when the update came out it’s already coming to my Ted walk I love you it’s a really good game all the updates keep you on your toes and if they’re saying besides the time that they had babies the size double like a Debbies but we can just blame that on my gang that’s all I absolutely love this game this game is probably one of the best to come out probably lost probably 2010 I don’t hold out with all the updates Worth that will be coming also I would like to suggest that the next update should be the end of August and then there would be a new type of armor and then that would be the last armor set in Minecraft also Minecraft does get a little boring at times like when they had bees update and we should probably get another realm even though you guys said that you were never put in another realm we need more roams like maybe like one more also there’s always a layout for one the one in the agency may make the make up you can like the portal when you get to an agency and then in there might be like some really good loot possibly even like nether right armor this is the best game download it now,The best mobile game of all time
