Score,Date,Content,Title
5,2018-12-19 13:07:09,"I agree with the last reviewer in that browsing the library available is very difficult. If you need a subscription to a different channel it should be in it’s own section! Plus, sometimes, no, often when I’ve been watching a series I go back and can’t find it when you would think it would be more like Netflix, sitting there in plain site waiting for you to watch it again, but, NO, you have to remember what it was called and go to search and find it that way. And some of the British shows are just difficult to remember the names of because they aren’t names of shows we are used to hearing about in the US. Overall, I love Prime and it’s originals, but this app needs help! Please people, see if you can do what Netflix does-it’s not that hard!",Less than user-friendly app.
3,2023-07-16 23:32:07,"NEEDS:  Ability to download ""ads"" programs - hey, you can figure out how to not let people skip ads.  I have no problem with ads - grew up with the on tv. GOOD: Seems downloads are a LOT faster now - not Netflix fast, but much improved - Thanks! Great Selection of old and new programs. Always liked the selection - especially old movies and series. I like the new better search of ""view with ads."" BAD: Untested new features, or I am just not someone they target as a user. Buttons do not always start or stop play but randomly jumps to another page for some reason. Downloads fail, go away, or just don't seem to work, then do - horrible download progress communication. ""My list"" is now harder to access, use, less information, and even harder to clean up. I can no longer easily differentiate the ""My List"" freevee and pay programs without looking at each program individually - I used frevee when I have wifi, but cant find them now on ""My List"". Competitor Netflix's downloads is no longer vastly superior, but now Netflix is way easier to use. Again, the things I liked in Prime are just going away or gone, and the new features don't help or hurt the experience for me, so their target audience is not me.",Great selection. Faster Downloads. Still clumsy.
2,2023-03-09 09:36:23,"As another commenter noted a couple of days ago, AirPlay has stopped working properly since last update. Overall this is the app I use most to watch TV/movies because of preferring the interface and really enjoying the X-ray feature of trivia and cast info when available. However, overnight, I stopped being able to stream my audio through to my wifi external speakers via AirPlay. Or rather, i can do so but without seeing the video. I am able to through my one speaker using it in Bluetooth mode but otherwise i get a black screen and sound. Or I can watch the video with just the regular iPad sound, but I prefer the better and louder quality of my Sonos system and I often stream it through my house as I’m moving room to room. Oddly, I can have the full AirPlay sound AND video if I minimize the video to use screen-in-screen but it won’t go back to the full screen with audio AND video when I remaximize it. PLEASE FIX ASAP. This is beyond frustrating and I was about to factory reset my iPad because I thought my machine was the problem until I played with every other app repeatedly and then saw that other review describing the same problem.",AirPlay issues
2,2022-08-23 04:29:09,"The barrage of ads is not only unnecessary, but they are also at a greater volume point that the actual entertainment that I wish to watch.  It’s extremely difficult to endure as well as the option NOT to skip the ads.  The greatest disgust is that you will sync to play not one but two ads as well, depending on the chosen feature.    Your greatest inadequacy is your lack of formatting the Prime app to the Prime screen on my chosen device.   I will choose a certain show/movie to watch from the app and proceed to my form of viewing.  I will wait a few minutes before I switch on my TV before I settle in to watch, 5-10 minutes.  My recent selection is not shown in my chosen features to watch, even after a decent amount of time.  Which leads me to search for my title.  The formats must be consistent!!  I have actually become so bothered by not only the ads but the lack of cohesive formats!!!  Please, format both to sync and allow viewers to skip your ads as more than one will play at a time.  Both issues an easy to adjust.  Please make an effort to do so.  It’s quite frustrating and has decreased my viewership.",Quite upsetting…..
1,2022-12-10 23:32:26,"Purchased a lot of movies. The app still recognizes the purchase but My Stuff/Purchases will only display 20 titles. Resorting from recent to A-Z or Z-A will display a different set but again limited to 20.  Whoever thought that limiting purchase display list to 20 instead of being able to scroll though all purchases should be fired for incompetence.   Tried to report but it sends you to a chat feature. After being bounced to several people, I got the standard uninstall and reinstall the app and restart ipad. Neither worked.  Tried to report again and once more bounced to several different people in chat. They seem to be unwilling to report as a new bug when they fail to solve the issue.  Their work around is to go to web address to access purchased movies/shows given My Stuff/purchases is broken. Alternative if you remember every purchase you can use search feature to find it and finally have the option to play.  No more purchases until they get this fixed. The work arounds are annoying and take more time when it worked before the update.  F on the last update and D- on chat experience.",9.24 added bugs!
3,2023-03-22 19:31:17,"Several issues with the ads I’m watching a Freevee program currently so I don’t know if these issues exist specifically with Freevee content, but it is so problematic that I felt I had to write a review.   1. Not displaying the length of the total ad time during every ad break; they are sporadic. Prime used to be very good about this, idk what happened.   2. Not allowing me to use picture-in-picture when the ad is playing, forcing me to stay on screen while the ad is playing, or closing out the program all together if I don’t go back to the app to let the ad play after a period of time.   3. Clunky transition into an ad, right between words, or in the middle of an important revelation. Usually ads happen at the end of sentences or during a scene change but these ads are intrusive, and severely affect the viewing experience. (In the past I believe there used to be a timer that told you that the ad was incoming and would gracefully transition into an ad but slowly bringing down the sound and a fade to black to allows the ad to come in, and go out. That was amazing. If it wasn’t this service, please implement that!)  4. If I go BACK to hear or see something again, it triggers an ad, regardless of if I use the 15 sec playback button, or if I scrub the content. It doesn’t even have to be where an ad is shown to be, it will just trigger an ad, and then force you to watch another ad if there’s one lined up, even if it’s only 10-15 secs away.",The Ad configuration needs work
1,2023-06-26 01:51:37,"Purchased Discovery+ subscription on my Prime Video account mainly for Expedition Unknown and am now being charged to stream it or can’t find the included version. Finding the shows the are included in my subscription or currently watched are too hard to find, however the same shows for purchase comes up first even when they are included in my subscription. This is a rip off. Why should the app charge you for shows that are included in your subscription? Why pay for the channel and this (plus others) that are included just to purchase what’s supposed to be included? Maybe this is a change but it’s too much work to look for what I’m already paying for. Also huge con that they don’t offer Peacock but I’m sure if I purchased their channel, it would be the same thing. Considering canceling as other streaming options can bundle more channels for a better price by the time you add all the subscriptions and don’t even get what’s offered without paying additional on top of the channel. Not worth it with other streaming options for me.",Rip Off- charges for shows on channels you purchase
4,2023-06-12 16:41:40,"This app is great:) There are so many included shows and i’ve had a really great time watching them. I’ve been watching Good Omens (excited for s2) and the legend of vox machina. however my only grievance is that the subtitles are a nightmare. You should have a setting to automatically keep them on. I’m not deaf or hard of hearing or anything however having the subtitles on really helps me understand what’s going on. It is really annoying to have to turn on the subtitles every-time i leave the app, or whenever a new episode starts (sometimes it works most of the time they turn off) I would really appreciate if there was just a setting to have the subtitles stay in for everything they’re available for. other than that the originals are great and the video quality is as-well, if you are also someone who relies on subtitles keep in mind that they can be very annoying at times.",subtitles are very finicky
1,2022-12-15 06:37:01,"Like, I’d get it if it was a smaller or a free service. Honestly, it’d be fine. But having to wait for something to load then I can click skip so I can then wait for the show I wanted to watch to load after? And even worse, the app crashes a lot when I hit skip, or just kick me to the Home Screen of the app. And maybe it wouldn’t bother me as much if you didn’t constantly push paid-for content and makes it more difficult than it should to filter the shows included with subscription. While The Grand Tour and The Tick are easily some of the best shows here, the latter is a HUGE example of missed opportunity through the lack of pushing. Even buying and watching super hero and comedy shows before finding The Tick myself, it never once showed up in suggestions. And that’s one of YOUR shows that I couldn’t find until a YouTuber mentioned it existed, off hand, in a video about something else entirely.  So many missed opportunity and problems within the app, and the ads are just the Cherry on top that made me wanna rant about my gripes with the service.",One word: ads on content
4,2022-12-10 21:48:04,"I love to watch paranormal shows and Prime has a lot of options…” A Haunting “ is a great example of the shows I watch.  I have no adds on my service, so idk if this is the problem when watching this show.  This is a very edge of your seat program,  the problem is, when it come toward the very end of every episode, Prime ends the program immediately after what would be the last commercial break, so I never get to see what happens at the very end.  UGH!! THIS IS SO FRIGIN FRUSTRATING!!!  It’s an awesome show and the end of it, I’m sure, would be incredible and not to mention the nformative. But I will never know what happens to the demons/spirits/residents or mediums/priests/paranormal investigators because PRIME DOES NOT SHOW THE END OF ANY OF THEIR EPISODES!!!!!  PS if anyone reading this experiences this while watching other programs/shows, PLEASE write a review stating s.  Hopefully Prime will get the message and fix this frustrating bug!!!",“A Haunting”
