Score,Date,Content,Title
5,2022-11-01 00:06:24,"besides one other app, Ticketmaster is what I use for buying concert tickets whenever a favored musical act of mine is performing in town nearby where i live. Unlike other sites like live nation, Ticketmaster is trustworthy. It is easy to set up an account on the app as well as customizing made profiles. it is useful for storing purchased concert tickets as well as the receipt, not to mention listing all the updated health guidelines for certain venues due to COVID-19. Another thing about Ticketmaster that I think is pretty cool is the ability to leave a review on a certain music event that has previously been attended too. ive never had a bad experience w/ using the Ticketmaster app. i wish i would of known more about Ticketmaster back when i did have a bad experience with buying fake tickets and having to re-purchase valid ones. The only other pro i have left to add w/ the others ive mentioned already is that if subscribed to receive emails from Ticketmaster, the app is usually on point w/ updating accounts to notify signed up members about nearby shows depending on their profile’s saved locations as addresses on it there.",Ticketmaster over everything! (as far as other apps claiming to have tickets available for purchase)
1,2023-11-05 02:02:29,"While the app is fairly easy to navigate and isn’t too hard to use, the services of Ticketmaster are rather horrible and what may be considered predatory. I have bought tickets once from here and my mother once as well. When my mom bought the tickets, they tried offering to cancel them without any communication from our side to do so. While this would be fine in a setting where there was an issue or if we might’ve mentioned such a thing, we did not ever indicate that we wanted our tickets cancelled. Fortunately in that situation nothing happened, which I couldn’t say the same for my purchase. My girlfriend and I bought two tickets to a concert 3 days before it, then on the SAME day as the concert, Ticketmaster voided the tickets themselves an hour before it started without any communication and reason to. Imagine had we went to the concert and had been stranded because they voided our tickets without our knowledge. Our card was fully charged for the FULL amount of both tickets. When we called support, didn’t even care to give us an answer. They forced a refund to us after endless back and forth, ignoring the fact we traveled to attend. Providing a service only to void that service after compensation is a very predatory and shady practice. In addition they don’t guarantee refunds, so there’s a chance if this happens to you, you will be conned out of your money.  I would not recommend this service, even if you’re really desperate for tickets.",Be careful using this App
1,2020-01-23 23:16:37,"So, I log onto Ticketmaster to purchase 2 tickets to an upcoming concert. Find the show no problem get the tickets I want no problem. When it comes to placing the order it says, you must log on to use express checkout payment method. Oops on me, forgot to log on. So I log back on and ‘Place Order’ and it tells me the same thing. Okay. Let me close the browser and delete all cookies because the website is dumb. Did all of that and try again. Sign into my account and go to ‘Place Order’ still the same error.  Okay maybe I’m an idiot. Let’s try from the phone. Go go onto the app, where I’m signed into my account, see the show I want to purchase tickets for. What do you know?? Clicked the show I want and it just gives me a blank white screen for 15 minutes.  Alright so know I have to attempt to speak to customer service. I click through everything and when I get to the Contact Us page there’s numerous ways to attempt to contact them, email, letter, live chat, numbers for already purchased tickets, and a Call Us section. Do you think they left their customer service number under the Call Is section??? Nope they did not. So onto of all the extra money I have to spend per ticket, their website and app does not function properly. If you can stay away from ever using this monopoly to purchase tickets.   In the end I created a fake email so I could log on and purchase my 2 tickets. I guess if you want everything to work just keep making fake emails.",App is Bad Website is Even Worse
2,2022-04-08 17:30:45,"First off I understand that every company is having staffing shortages. With that being said, I typed in Monster Jam into the search bar, it came up, I chose my seats, & paid. Immediately after I paid, it came up that I have my tickets for Monster Jam in Ohio. Ok, well…….. I live in Indiana. Yes, I chose the wrong event. I would think that if the same event, on the same day, & at the same time they would make sure you knew which event you had chosen instead of everything being in “fine print” until after you hit the purchase button. I even purchased the insurance. I immediately sent an email and pretty quickly received one back saying do not send another email because it will mess everything up and blah blah blah. So I wait two days and hear nothing on what I can do. So my only other option is to “sell” my tickets through Ticketmaster, hope someone purchases them as well as taking a “hit” on what I paid because Ticketmaster has to make more money off of me, & then purchase the correct tickets for where I live because the event is in 2 days and I have to make sure I have tickets to this event. There’s no phone number to Ticketmaster. Everything has to be done over email and then it’s just a waiting game. So so so AGGRAVATED!!!!!!",Aggravated
1,2023-01-16 01:35:52,"What an utterly useless app. Other Ticketmaster users can transfer a ticket to you (and you must have a Ticketmaster account to accept them). However, when you accept your tickets, you can only access them after logging into the Ticketmaster website. They DO NOT appear in your “my tickets” tab of the app, even if you tap the link to “refresh to view your tickets” and not even if you log completely out of the app and log back in. The Ticketmaster app does not work at all if you are using a VPN, so if you care about network security or privacy, you can’t use the Ticketmaster app. Want to add a ticket that was transferred to you to your Apple Wallet so you don’t have to fumble around with a congested cellular network at a venue? Nope. Can’t do that if the tickets were transferred to you, even though the app prompts you with a warning that you should transfer your tickets to Apple Wallet (and warns you that screen shots of your tickets don’t work). So literally, what is the point of the Ticketmaster app? What DOES it do correctly?  Oh, one more thing. The “give feedback” option in the app? Yeah, that doesn’t work either. The “contact us” option just above “give feedback” does work, but it just opens a “help” article that does not give you any way to actually contact Ticketmaster. In summary, the app doesn’t work, Ticketmaster doesn’t care, and you can’t tell them about it.","Worst App: Doesn’t Show Transferred Tickets, Can’t Use VPN"
1,2023-07-13 15:41:27,"I wanted to attend a concert on June 17th and I was driven to download the AXS app to make the purchase, everything worked fine with the transaction until I arrived at the venue and the tickets had disappeared from the app and even though I had email receipts for proof of purchase the people at will-call could not help me which is understandable since they work for the venue and not AXS. I ended up spending hundreds of dollars, and two hours travel time to be told I could not enter the venue. This is by far the worst experience I have ever had with at any venue and to add insult to injury, I created a support ticket through the app and received an email confirmation with a request number and we’re almost a month later and no one from AXS has contacted me yet. This is another reason why you should steer away from this app unless you must have the app and you spend the $6.25 surcharge for picking up your tix through will-call (not that I recommend giving AXS more revenue through surcharges). Btw, I’m a power user of apps so this isn’t coming from a person who’s technically challenged and I always give credit where credit is due but if an app has a bug that can cause a glitch like this and tech support does not acknowledge, I feel it’s my duty to communicate that to others so they don’t have a similar experience. I will continue this post this on every platform possible until I get a response from AXS.",DO NOT USE THIS APP!!
1,2022-07-11 01:00:59,"So I'm traveling to Vegas for an anniversary with my wife. I booked tickets for a show in July. While I was attempting to check out, the Ticketmaster app had an issue with my use of a VPN on my phone. I shut off the VPN and went to check out. I purchased but then was surprised to discover that the date had changed to January. I don't know 100% if the VPN switching caused the dates to change or if I made an error on the month. In the end it really shouldn't matter. I immediately contacted customer service. That's when the nightmare began. First off, there is no number to call. Everything is via email or a chat that takes an average of three to six hours between responses. I was willing to purchase more expensive seats, I was willing to pay more for the same seats, but under no circumstances was I allowed to exchange for the correct date. I was told I should sell the tickets myself to someone else and then use that money to buy new tickets but that they weren't responsible if I didn't get paid. This was not an option for me since my travel for the event was the next day. I have never experienced such awful customer service nor had a worse customer outcome from a known company. I feel like I've been defrauded $500. I literally cannot believe this happened. I will never use Ticketmaster ever again. I cannot recommend that anyone else use it either.","Lost $500 to Ticketmaster, feel defrauded"
1,2022-08-09 08:40:31,"I purchased three tickets on one order plus 7 others on another for my family to see the tribute band No Duh at the OC Fair. I transferred 2 tickets to my daughters, two to my sisters, and one to my niece.  The two to my sisters, and one to my niece worked fine as they had accepted the tickets before I entered the event.  On the day of the event, I got to the fair and entered the gate about 6pm. They scanned the remaining tickets in the app (they couldn’t scan the two tickets for my daughters as they were in tranfer mode. We arrived at the venue at The Hangar at the OC Fair and scanned our tickets again. Two were still in my app but couldn’t be scanned as they were transferred to my daughters and were colored green. My daughters accepted the tickets when the concert started. They arrived at the OC Fair green gate and had their tickets scanned. They were told they had been scanned at 6pm. That was impossible as that was the time I entered the fair with my family and the tickets in transfer mode couldn’t be scanned as they were in green. My daughters missed the concert as I did too because I had to go to the entrance to try to resolve the situation. They were not allowed in. I am extremely furious about the situation.  There must be a glitch in the transfer mode. I complained to Ticketmaster and they did nothing about it even though their app was at fault.",Glitch in App-Be Careful When Transferring Tickets
1,2020-10-18 22:59:14,"I purchased tickets to the No Shame 5SOS tour that was supposed to be last month, but the tour got cancelled back in July. I got the email about the cancellation and they said I would automatically have a refund processed for my tickets because there was to be no event. Here it is 4 months later from July and a whole month after the event, with absolutely no communication from TM, no way to CONTACT TM, and surprise surprise no money back yet either. I am struggling so much right now because I can’t work due to COVID and I could seriously use the money and to my knowledge there was no reschedule of the event. I have been trying to contact TM on their site but every time I click anything like “contact us” I get redirected to the same BS articles answering questions that don’t help one bit. I am just so frustrated at the lack of communication and the utter disregard for their customers during this time right now. I would understand if there was a high volume of customers requesting refunds, I get it I work in customer service myself, but to not even provide any sort of updates! My account just has the event under “past events” with CANCELLED over it, but other than that absolutely no relevant information. I am out close to $500 and have nothing to even show for it at this point. Have some humility! I wouldn’t recommend Ticketmaster even if my life depended on it at this point.",Literally the WORST company
1,2022-01-18 21:37:23,Very very disappointed with Ticketmaster. I was looking for Coldplay tickets and signed up for the presale. Kept getting emails etc saying I may not get tickets and I have to hurry once it’s my turn and then once it was my turn in the presale a clock was running down and I had 1 minute or so to complete the order. The part that I’m annoyed with the absolute most is that this scam company didn’t open all the seats for sale. Only the expensive ones and grayed out the entire top section saying no tickets available indicating they are already sold out. Because I really wanted to see their concert I took the bait and bought tickets for $250 each thinking and believing them that tickets are almost sold out. A day later they opened up the general sale and to my surprise I saw that all the grayed out seats were now available for well below $100. Even the tickets next to the ones I bought were $70 cheaper. What the heck Ticketmaster!!!!! This is absolutely disgusting and I will never ever in my life buy tickets from you again. Telling me I have to act fast and lying that tickets aren’t available and the next day you sell thousands of them is not ok. Never felt so lied to and disappointed with a company ever before. All the joy of getting tickets went away and turned into anger. Thanks! You have lost a customer forever.,Rip off
