Score,Date,Content,Title
5,2021-02-13 17:37:59,"I love the app, but it needs a few more features. I would love to have more choices when it comes to the exercises. They  have to think about your physical health, age, and weight. Some exercises are just made for people who are fit, young or both. At the beginning the exercises are modified to a beginner, but then they get more challenging. The problem is that after months of exercising when you’re overweight and older, your knees start feeling the pain,  so I do recommend they stay on a modified exercise when it comes to putting all the weight on your knees or giving you the option within the app.   Also, it’s important to provide two feel good options because it helps you achieve that goal for that day, and also you have an option for those days when your life was crazy busy, active, and full of chaos.   Lastly, I have had many problems of it crashing down in the middle of my workout many, many times! This also discourages all the effort we put into a healthier lifestyle. I have even tried it several times, but it constantly crashes down. Also, I can’t even delete and reinstall the app because it might delete all my data. No easy fix for this until now.",We Want Change
4,2021-02-11 13:20:07,"With gyms closed, I decided to look for alternate at home exercises. I am in my late 20s and looking to keep an active and healthy lifestyle. This app has great options. I subscribed and I really enjoy the daily 'do your exercises' that fit directly in what I am looking for. I also like the 'workouts' section if I am looking to work a little more on a specific muscle group.   Yet, for me honestly I do feel that the food and dietary section is not useful to me. I am not looking for nutritional advice, im only looking for workout ideas so this to me is not useful. I would advice BetterMe to have a full seperate app just for nutrition and one just for workouts with the possibility of merging data from both apps together if the user wants to. Otherwise, a lot of the data on this is just not useful to some people. I do get the whole concept of being a full plan of food and exercise but thats my experience.   Another think I want to point out is the 'do your workouts' section of the Plan page. Some days it recommends walking, other days it recommends a full 25 minute exercise routine -which is exactly what i love about this app and why I subscribed to it. Yet, skme days when i check the 'do your workout' section it says 'today walking' it doesn't make sense. I suggest modifying the Plan page to include under the 'do your workouts' section a 'walking' subsection and an 'exercises' subsection. That way you get to have both new options everyday.","Enjoyable, needs a few improvements"
2,2022-07-28 15:00:43,"However, for a pay-for app, it is lousy. The food recording is ridiculous-good luck finding what you are looking for in the measurement that is reasonable. Many different measurements seem to have been done by a completely inept person/machine, having 5 different measurements that all say the same calories. Then, you HAVE to give access to every part of your health on apple in order for it to track your steps or to even log your weight? I don’t use apple health and don’t want to share my information with it. I can understand the steps but allowing just the step tracking to share does not work at all, it still requires you to share everything. What is the point of having separate sections if yo can’t allow one section. These issues render half of the app unuseable, add to the fact it doesn’t sync with Fitbit, and I def wouldn’t recommend this app for anyone unless you are only looking to read the little quips which are nice but so far are all information you can get free online in weight loss articles, just broken down in smaller bites. The water tracker is nice, and I haven’t tried the workouts yet since I use another app for those that is easing me into them. The daily log in award thing doesn’t even work correctly.  For 3 days it told me I was at “day 5” and then I updated the app and it sent me back to 1.   And despite what the response to my negative review says, it does not sync with Fitbit.  There is not even an option.",Maybe 3 stars if it were free.
3,2023-03-29 16:12:22,"The app has the potential to be so much more than it is.  Functions I appreciated: keeping track of nutritional intake, daily steps, weight , and a variety of at home exercise videos to do at your own pace and fitness level.  What I don’t appreciate: In the app it shows tracking heart rate, and sleep. A promo plug kept encouraging me to purchase a $60 better me fitness band to maximize all the above. Sadly that’s a lie. The band isn’t even fully compatible with their app yet. $60 wasted. The band took 6 weeks to receive which was a bit ridiculous.  Over all I lost over 15 pounds in 2 months but I contribute it all to managing calories because I only did a couple of the workouts a week due to being a night shift nurse with a limited amount of time to work out. I did reach out to them and they suggested fasting often which I already did, but not by choice.  I like the workouts when I can do them but I’m not sure if it’s worth the cost since I’ve yet to compare it to anything else.  I’d like to see compatibility to band and app, a better way to customize workouts to specific days vs daily reminders that I’m not working out. If I could workout more i would but I’m working 16 hours a day and sleep all day until it’s time to get ready to go back. I’d love to be able to set what days I can workout and then load a workout for that specific day.",Developers need to get the ball rolling
5,2023-04-16 01:54:59,"I downloaded this app based on Instagram advertising the wasted no time in signing me up for a subscription plan, so suffice it to say, my attendance were up to a possible scam. However, after a few weeks of using this up, I can confidently say it’s one of the best overall fitness apps around. Not only are there features like calorie and water trucking plus fitness and exercise, calorie burn counters that, well, how are useful, or customary for just about every iOS wellness app, the BetterMe app goes five steps beyond by creating customized meal plans for you inclusive of daily recipes that accommodate all major dietary restrictions and allergies (shocking for someone gluten-free, egg-free and nut- free, as well as paleo & pescatarian !!), the app also creates workout regiment for you that take into account injuries you identify in your initial survey (knees for instance) with great instructional videos.    Honestly, to say, I am gob, smacked by this up, would not be an exaggeration. I, feel like they have launched fitness software to rival even the likes of peloton and other major industry players without so none of the cost or icky branding.   I 10/10 enthusiastically recommend.",No lie—one of the best fitness aps around
2,2020-09-30 13:42:42,"This app has a lot of great articles, workouts, and recipes based on your preferences and needs. I enjoy the little quizzes you have daily, and the water intake tracker, but that’s really where the niceties end with this app.  Logging food is near impossible and not user friendly at all. The only measurements they have for most items is in ounces, and even then half the time it doesn’t pick up the fractions of an ounce you try to log in. Its food library is VERY limited, so good luck finding a barcode it will take. You’ll be entering in a lot of foods manually.     While the fasting countdown is a great visual to use, you can’t reset it. If you forget to hit start or stop, it keeps on keeping on. There really needs to be a way to adjust the times on it to be accurate. Plus, if you’re done eating, but not yet to the end of your eating window, you can’t start your fasting window early!  Sorry, but I don’t eat the ENTIRE 8 hours of my eating window. It’s like the developers don’t understand intermittent fasting?   To top it all off, it doesn’t sync up with fitbits. It’s not even an option. So unless you have an Apple Watch and/or want to carry your phone with you 24/7, your steps aren’t counted, and you can’t manually enter steps or workouts. Those 3 things are MAJOR fails for me as a user, and it’s very frustrating to know I paid to get a limited sliver of use from it. I really can’t recommend this app to anyone.",Does Frustration Burn Calories?
2,2020-07-09 03:13:07,"I started using this App yesterday. Already have huge agitations. Let’s start with the Calorie tracker. I have used other meal log/ macro Apps that are way easier and less time consuming. For example if I meal prep I should be able to copy the meals from the day prior into my next day of tracked meals instead of individually typing items all over again, the food items are scaled to Oz even though they are inputted as grams which is time consuming to go and covert the serving unit every single time. Now let’s talk about the workout. Day 1 was labeled Brazilian Booty in which there was no glute exercise. This is a full body workout that had abs and shoulders. The movements being demonstrated are jerky and fast lacking in proper form/technique. I DO HOWEVER enjoy the way the workout is designed so you can move along with it, timer and everything.  Water tracker, if I accidentally click too many times I see no way of deleting my mistake in order to accurately track water intake over time. AND LAST BUT NOT LEAST the app opens you to another item to sign up for (which also costs) once you have already paid for the services, I chose one that says “ live coach access” where is the live coach ? Well I’ll see how I do in the end I already paid but I will be sure not to continue the subscription once completed. This app has such great potential just really needs to tighten things up for efficiency and accuracy.",Has Great Potential....
2,2020-09-12 13:53:47,"*Updated review: I was told there was a return policy that I didn’t qualify for. After I gave a negative review, I was offered a refund and then was asked to edit my review. Days later, I was asked again to edit my review. I suppose I am more pleased with my experience now that I was refunded. However, my original experience hasn’t changed. I believe the only reason I was refunded was to fix their reviews. I should have been refunded right away because I was dissatisfied with the products I purchased. I would rate their customer service at a 1 and the app itself at a 3 so I will   meet in the middle and raise my rating to 2. I won’t lie and give a rating I don’t feel is true. Rating are a way for customers to get the truth before spending their hard earned money. This isn’t just a $1.99 purchase, people should know what to expect.   Original Review: I purchased the app but it was not at all what I expected. The ad was misleading and it didn’t function at all as expected. I requested a refund and they just kept replying without answering me about the refund. They finally sent me a link to their refund policy which basically told me I needed to follow the suggested diet to a T for a period of time, yet request a refund within a certain time, leaving very little time to do so. By the time they FINALLY sent me the return policy, it was too late. Waste of money!! Won’t refund if you are unsatisfied.",Edited review after refund
4,2020-05-14 06:04:24,"So when I started using this app (more routinely) in March I was 160 lbs now I am 146 so it works. I love the exercises and the meal plans it’s honestly an amazing app but it could be better. I don’t like that the exercises just jump from one to another. It would be really cool if somewhere in the corner you put “up next: ______ exercise” with a photo or video of the next exercise so I’d be a little more prepared. Also sometimes I can’t see my phone when I’m exercising so some type of ding when you switch workouts or a “3,2,1” kind of count down or something to let me know we’re switching exercises would be helpful. Another thing is I started the sugar free challenge and I’ve been clean since I started but I forget to mark down that I had a successful day and it automatically puts me as failed and it can’t be changed. That’s a bummer and it really brings me down because I know I’ve been trying. Other than that I really love this app it’s honestly helped me so much to change my lifestyle. Another suggestion is I would love if this app could remind you to drink water as well as workout! I really think this app can go places.",Love but could be better
3,2023-08-12 12:24:38,"Workouts are mostly great. It helps to hear and follow along without having to stare at the phone for what’s next and when to transition; however, there are a lot of errors. The app should allow for quick feedback by workout because it’s weird when you are doing a completely different exercise based on audio than is demonstrated on video, or you do the same exercise multiple times on the right as instructed thinking you’ll come back to left and never do, etc.  Also I purchased the 30-day toned tummy challenge for $4.99…has no narration that explains the move and no transition warning, so unless you are staring at the phone, you cannot follow along with ease.  Haven’t seen enough at home fitness that caters to the use of just hand weights. Many at home workouts refer to equipment needed like machines (or two) in a gym. Have to click on each workout to see what I can do with the equipment I have at home.  I tried to use it for food tracking but felt like other apps had better functionality.  Also responsiveness to questions is the worst I’ve seen. Then when they finally respond, you’ve moved on to something else. At this point, I could use great workouts and device connectivity to other popular apps.",Workouts mostly great but service is bad
