Score,Date,Content,Title
4,2023-05-25 05:44:59,"Since there is nowhere on the app to provide feedback on the interface, I guess I have to do it here, and I guess the first suggestion is for a place to ask questions and leave feedback about the interface.  Second item: put my friggin Lists back the way they were!! Why do you feel the need to screw up a perfectly good system?! What’s with the new icons and why are their two when they seem to do the same thing? I lost the functionality of being able to search my Lists for stuff. Very bad!! I now have you grouping things together for me - other than in my Lists… why??? That’s what the Lists are FOR aren’t they?? 🤦🏼‍♂️ Ugh, come on, guys! I get that you want to make things better, but where are you getting your intel from? Did I miss a survey? Did someone actually suggest jacking up the Lists and then not tell anybody - just sneak it in??   I love the app, love the services, love Prime (except for all the videos that do NOT come with my subscription… 🤬). But I reeeeally do not like you ruining Lists!!",Web Experience Feedback
1,2022-10-21 03:15:50,"I dislike them, they’ve gotten worse, now our packages arrived not sealed at all which 9 times out of 10 means the order DOESNT ARRIVE then they want us to sent it back for a refund or replacement WHEN THERE IS NO ITEM. Its stupid! Because if you click the Missing/broken they ASSUME YOU HAVE IT EVEN THOUGH ITS MISSING. Theres no on site thing to review the company itself. Or file a complaint for its actual team. Then you spend an 1 hour on the phone with someone with an accent so thick you can’t understand them explaining you dont have the item! And it take them the entire hour to understand, for example, “i dont have the item i want a refund” “You….dont have the item?” “No i dont have it” “ah well you can return it to get your refund” “I DONT HAVE IT” “Ohhhh!!! You dont have it, Let me see what i can do!” (30 minutes of waiting) “Ah so it seems we can refund this but we can only do it to the site, maybbe the card” “i want the card refund. Its my money i need it” “Let me see what I can do…. you dont have the item???” “i dont have the item.” “Okay okay” (10 minutes) “you started the return process, yes? Can you return the item??“ “No.”(20 more minutes of basically explaining it in different words I NEVER received the item) “okay okay.. Ive started the return process your refund should be there in 5 days” “Thank you.”  THATS EVERYTIME IM ON CALL WITH THEM.",Not the app but the actual company
1,2021-09-12 13:45:55,"After the last several upgrades for the I-Pad version, no longer I-Pad friendly. App constantly rotates to a to line up with  “phone” size and I-Pad has to be rotated back and forth constantly to realign back to horizontal  format. This also occurs after each time you tap “back”, “return to search”. Then after returning back to previous search page you back at the first page and have to advance back to where you were. This “new” format and layout some times do not have a purchase button and only have a subscription button or neither. It’s to much like a phone app now. I’m sorry but i have a I-Pad, not a I-PHONE I do not want them stupid buttons on the bottom like an I-phone app. Also along the bottom of the window there is a black spot that appear when you first open the app and it also appear to be a notification window but blank. I have tried to tap on it, move it, open it, expand it, but nothing works, it just sits there covering half the screen. Also the right side of page is covered up or running off the edge. You can’t reduce size to make page fit, nor move it over to read it. I have deleted app and reinstalled to try and correct problems, and it may work fine or it may not. When it does load right, the next time I open it’s back to the “I-Phone” format.",Up grade destroyed it
3,2023-03-21 16:49:29,"I been ordering on this app for like 2 years now . I never cared or really checked how they took my transactions. I ordered a group of things small things including baby diapers,lotions, soaps and toys etc. I calculate how much will be removed from my checking account . You guys don’t take the money off till last minute it can be a few hours or days before you take the money off my card which can be very confusing . I’m the most of it all it sometimes declines it and says I need to revise payment method, there be nothing wrong with my cards or bank accounts because the money still stays there . Then I have to buy another thing separately which won’t be the same price for that I have to spend more only becasue you guys on your end try to have me pay for different deliveries when all together I wanted it done and paid for one delivery. I order so many diapers that I need today and it will not be coming I will have to go to the store in person which I did not want to do because they never have what I need . Thankyou please change ur policies, if we’re buying something and your taking our money y’all should take it as soon as we order something. Thankyou",Last minute transactions
3,2023-05-23 19:11:18,"I used to like the app - it had most of the same searching ability as the desktop browser. With all the updates recently, it has to reload the page each time I want to add a filter even if it is a deeper level of the same type of filter. I also used to be able to use a search term and select ANY category I was interested in. Now a search term may only yield a few options to narrow a category. Example: I search for “stainless steel” and I can’t refine my search by the category of “arts, crafts and jewelry making”. If change the search term to “stainless steel charms”, I can refine my search by “arts, crafts and jewelry making”. The problem is that “charms” may not be the exact thing I am looking for and I want a more broad search but not so broad that I get entirely unrelated items.  Another big pet peeve of mine is kids shoe sizes. You used to be able to select the shoe size you were looking AND distinguish between little kid and big kid sizes. Now you can’t. But let tell you, there is a BIG difference between a size little kid 1 and big kid 1. Looking for shoes for my kids for big kid sizes 1 and 2 is beyond infuriating when size filters are meaningless",Less user friendly than it used to be
1,2023-05-12 01:28:55,"The app is still missing key features to make it more user friendly. Here are key needed improvements: search filters don’t work. The search function is really bad - I get all kinds of garbage. Need to add a way to exclude words. For ex searching for an iPhone case keeps showing me for the max model. Gave up and went somewhere else. The filters and sort choices aren’t followed. I’m searching for a desk with a specific width, I chose that and alll that I get is everything but that width.  Why bother having a filter if it’s not usable? Or I put a price cap and filter by price and the results are in a random order and beyond the filters I’ve set. Understand if it’s one or two but 70% of results don’t fit the search terms and filters. Need to be able to filter for free shipping even if not prime. The search - need to have a way to go back to the search list, now i spent lots of time going down a search list then by mistake hit another “tab”at the bottom and my entire search list is gone. I lose where I was in my search, and need to start all over again. The typing/word processing is primitive - please add autocorrect or something like that - to type a review or ask a question on my phone takes 4 times longer than needed and I give up midway.",The app is stillClunky and missing features
2,2022-06-10 06:37:19,"This app used to be seamless. I don’t know what happened but now, there are times when I cannot click to view the reviews of a product. Usually I can just click on the number of reviews next to the stars and it’ll take me to all the reviews, but now, it’s like it’s no longer hyperlinked and it does nothing when clicked on. So I tried the slower route which is to scroll down until you get to the reviews, but it turns out, when the app is bugging like that, you can’t scroll down to the reviews because the page just stops right after the price area. So no reviews to read at all. I try clearing my app history by swiping out and going back in but that doesn’t help. There’s no remedy right now for this bug.   On the off chance you can click and read reviews, the pictures no longer fully display. It’ll just be the heading ‘Reviews with Images’ and a blank spot where the pictures would be displayed. When that happens, the hyperlinked ‘See All’ is also gone too.   Also, why can’t I select which list my hearted items go to anymore? All my hearted items go only to wishlist now with no drop down menu to change it to another custom list. Why?",Buggy and Not Responsive/ No more separate wishlists?
2,2023-08-10 03:11:44,"First of all, they charge you a lot of money for some fast shipping and even if you don’t get a fast shipping they still charge you a lot yeah I will give them the same day delivering but other than that shipping is overpriced and unless u get that expensive shipping then they are gonna be so careless about when you get your package my package was ordered last month on the 30th and it’s the 9th now and it’s still not here when it was supposed to come at 10pm today BY 10pm let me add. And then it says it’s delayed it hasn’t even been shipped yet but if I bought that over priced fast shipping they wouldn’t have been treating like this I know that’s kinda the whole point but I feel like they prioritize the expensive shipping more than they do regular it’s not fair to people that don’t have money and that can’t afford the same day delivery doesn’t mean you have to NOT make a free shipping package a priority. And don’t get me wrong I’ve bought the fast shipping before but it’s just super overpriced I have patience I’m not a brat but it’s just I’m annoyed at this point I’m not gonna over pay because I want it by tomorrow but they need to do a better job.","Shipping to long, fast shipping overpriced"
2,2023-01-12 12:10:55,"It’s even worse than before. Nothing has been fixed or improved. Click and switch prices are still there, clearly showing items at lower prices and when clicked they are more by any random amount they are stealing today. Functional app features are missing and cannot be searched, specially sending a gift item in an order to the actual recipient. I am so tired of being their sheep when I can’t find what I need in my rural area. Has gotten worse  I’ve had the app for years and it’s gotten progressively worse over time. Now it’s become dysfunctional and too time consuming to be convenient. Very specific search criteria bring up pages of mixed in products that vary from “product adjacent” to “wt?!!!” If I type in the author and title of a book I want, I expect to see all the options for buying this book first, not 12 pages later giving up cause I’m still seeing 1 option every now and then. Same thing if I search denim shorts women size 6. I don’t think I should be scrolling through baby prams, Halloween costumes for kids or iPhone cases. Nope. I told you what I want. Don’t tell me what you want me to buy instead.",It’s like asking a burglar to manage your money
4,2023-01-05 09:23:22,"The overall usability of the app is pretty decent. My account details are easy to find and keeping an eye on my orders are as well. I would have to say using the search engine isn’t as easy as it used to be. Even with knowledge in how to use search engines to narrow down your search, I still seem to struggle at times with getting unrelated items, a too narrow search, or a too vague and high result search. This makes shopping difficult and/or time consuming.  On a side note, I would love it if the app had a “dark appearance” setting or “nighttime” setting for the display. I have my phone set to this since I suffer from migraines and try to limit my phone time; the white display of the app can be a bit bright when scrolling and shopping. This display setting choice would be very helpful for someone like me where light sensitivity can impact app usage (I have to do the same thing with my computer settings and turn the brightness down as far as I can because of how bright the screen is).",Overall pretty decent
3,2023-11-01 13:11:49,"1. A dedicated return section. It’s such a pain to scroll through all orders to find the return items, especially when you have multiple and are in a busy UPS trying to be quick. Oh all the improvements constantly made please put in a dedicated returns section.  2. I can no longer tell how much I spent on a single item in a multiple item purchase. You used to be able to easily see the itemized breakdown with discounts/sales applied to the specific item. Now you just see the full price and all discounts/sales at the bottom. That’s cool except again when returning I have no idea if I was credited back correctly. Most sure why you guys made this update to the invoice breakdown. It was fine before.  Otherwise it’s fine. The random updates moving the search bar and back arrows aren’t really helpful. Fixing the items that need attention would be great. I never understood why companies fix things that work and ignore the areas for improvement.",2 things would make this app better
1,2021-11-21 01:20:17,"Update: DELETING APP! Issue below continues and I will shop elsewhere! These pop ups really disrupt the shopping experience! Breaks your train if thought and what you were looking for—so fine, you won’t stop, so I will, buying elsewhere!   We are all different—we think and sequence differently. STOP TELLING ME HOW TO DO THINGS—stupid pop up short cuts suggestions every time I do something—it disrupts the shopping experience. As a person with disabilities, it’s rude and insensitive for you to constantly remind me there is a way you want me to do things. Once is fine, but every time is like a pushy parent! Thanks for being the bully Amazon—so much for your sensitivity ads that you are open and accepting. Do you tell the deaf guy in your ads to listen differently? and do you constantly drop him tips in the same manner, with pop-ups? (You get my point!) Mind your own business—one reminder is enough—or there are other places I can shop! The passive aggressiveness is over the top! As well as your sneaky tactics of putting things on shopping lists I didn’t put there! (Must be a new MBA in Marketing trying to kiss up to management that he/she/they are increasing sales!) JUST STOP!!",Ridiculous & On-going Pop-up Suggestions/Tips
1,2021-09-11 21:11:47,"oh my gosh this is getting so frustrating. i order something over 2 weeks ago, ETA had been September 2nd. Doesn’t arrive and i’m told it’s running late. I get it, things happen. It tells me that my package will now arrive from the 5-7th. I wait patiently as it tells me that if it doesn’t arrive by the 7th then i can get a refund and cancel the order. The day comes and i’m now told I have to wait till that Friday (aka today) to be able to get a refund. Fridays here and guess what message I get? Yup, my package is now expected on the 15th. Still no option for a refund, and at this point i don’t even need the stuff I bought anymore (it was for a business) Total waste of time and just so frustrating, won’t let me speak to customer service either.  Also, i don’t know what y’all did in the update but now I can only see 2 reviews out of however many there are, and of course it’s only the good reviews instead of the ones that actually say if anything is wrong. At first I thought it was just my phone, but my computer is the same thing. It’s not my wifi either, but please fix this because lately the app has been so frustrating.",packaging is annoying
1,2023-10-09 17:48:35,I wish I could give this app 0 stars. I was trying to get a roblox gift card for my niece so i purchased one. It didn’t go through for some unstated reason so i tried again. It blocked my account. I was confused and so I made a new one because i was just trying to buy a $15 gift card. it temporarily blocked that account. They said they needed a bank statement for my card or something so I uploaded one. After 24 hours they said it wasn’t sufficient. At this point the money from my account was already taken out (the $15) I uploaded it again with a note saying something like “I uploaded what was requested… i’m not sure what else i’m supposed to include.” And low and behold 24 hours after that they completely terminated my account. They said that more information on the matter would be in my email and to contact them for further questions. I looked in my email and nothing was clarified and it said that i couldn’t reply to the email. So i tried to log in to contact customer service and because my account was terminated I couldn’t contact customer service. They still have my money.,I hate this app. The worst customer service imaginable
2,2023-03-10 02:22:00,"What in the world is this latest up?? It changed how things i’m looking at gets displayed on the page: instead of all info getting displayed on the main page, one the photos are on the main page and there’s a banner at the bottom that you pull up in order to display the product information, reviews, etc.  It’s hard to explain in words but basically this new layout/page display isn’t really utilizing the full screen, and i don’t like that. The pull up page at the bottom pulls up but it only goes up like 3/4 of the way so i have to read through info with a much smaller space. I can’t pull it up all the way and make it the main page, instead i have to toggle back and forth between that pull up page (with all the info pricing etc) and the main page (displays only the photos).  I want to UNDO my update— i prefer the previous version where everything is on the main page and i don’t have to pull/open up something else just to get production info. This update isn’t helpful.",Latest update keeps only item photos on the main page
